"Indexer Management","Zarządzanie indeksacją"
"Update by Schedule","Aktualizuj z harmonogramem"
"Update on Save","Aktualizuj przy zapisie"
"Reindex required","Wymagane przeindeksowanie"
"Ready","Gotowe"
"Processing","Przetwarzam"
"Never","Nigdy"
"%1 index is locked by another reindex process. Skipping.","%1 indeks jest zablokowany przez inny proces indeksowania. Pomijam."
"Index Management","Indeksy"
"Please select indexers.","Prosimy wybrać indeksy."
"%1 indexer(s) are in ""Update by Schedule"" mode.","%1 indeks(ów) jest w tryby ""Zaplanowanej aktualizacji""."
"We couldn't change indexer(s)' mode because of an error.","Nie można zmienić trybu indeksowania z powodu błędu."
"%1 indexer(s) are in ""Update on Save"" mode.","%1 indeks(ów) jest w trybie ""Aktualizacji po zapisie""."
"One or more <a href=""%1"">indexers are invalid</a>. Make sure your <a href=""%2"" target=""_blank"">Magento cron job</a> is running.","Istnieją <a href=""%1"">nieaktualne indeksy</a>. Upewnij się, że <a href=""%2"" target=""_blank"">cron Magento</a> jest uruchomiony."
"State for the same indexer","Państwo dla tego samego indeksowania"
"State for the same view","Państwo ma ten sam widok"
"Field '%1' not found","Pole '%1' nie zostało znalezione"
"Some Exception Message","Niektóre wiadomości wyjątku"
"Test Phrase","Fraza testowa"
"Change indexer mode","Zmień tryb indeksatora"
"Indexer","Indeks"
"Description","Opis"
"Mode","Tryb"
"Status","Stan"
"Updated","Zaktualizowano"
