"Indexer Management","Indekserer Behandling"
"Update by Schedule","Oppdatere med tidsplan"
"Update on Save","Oppdatere ved lagring"
"Reindex required","Reindeksering nødvendig"
"Ready","Klar"
"Processing","Behandler"
"Never","Aldri"
"%1 index is locked by another reindex process. Skipping.","%1 index is locked by another reindex process. Skipping."
"Index Management","Indeksbehandling"
"Please select indexers.","Please select indexers."
"%1 indexer(s) are in ""Update by Schedule"" mode.","%1 indexer(s) are in ""Update by Schedule"" mode."
"We couldn't change indexer(s)' mode because of an error.","We couldn't change indexer(s)' mode because of an error."
"%1 indexer(s) are in ""Update on Save"" mode.","%1 indexer(s) are in ""Update on Save"" mode."
"One or more <a href=""%1"">indexers are invalid</a>. Make sure your <a href=""%2"" target=""_blank"">Magento cron job</a> is running.","One or more <a href=""%1"">indexers are invalid</a>. Make sure your <a href=""%2"" target=""_blank"">Magento cron job</a> is running."
"State for the same indexer","Status for den samme indeksereren"
"State for the same view","State for the same view"
"Field '%1' not found","Field '%1' not found"
"Some Exception Message","Some Exception Message"
"Test Phrase","Testuttrykk"
"Change indexer mode","Change indexer mode"
"Indexer","Indexer"
"Description","Beskrivelse"
"Mode","Mode"
"Status","Status"
"Updated","Oppdatert"
