"Indexer Management","Gestión de Indexadores"
"Update by Schedule","Actualización programada"
"Update on Save","Actualizar al guardar"
"Reindex required","Necesita reindexar"
"Ready","Listo"
"Processing","Procesando"
"Never","Nunca"
"%1 index is locked by another reindex process. Skipping.","El índice %1 se encuentra bloqueado por otro proceso de reindexación. Se omitirá."
"Index Management","Gestión de índices"
"Please select indexers.","Por favor selecciona indexadores."
"%1 indexer(s) are in ""Update by Schedule"" mode.","%1 indexador(es) está(n) en modo ""Actualización programada""."
"We couldn't change indexer(s)' mode because of an error.","No pudimos cambiar los indexadores debido a un error."
"%1 indexer(s) are in ""Update on Save"" mode.","%1 indexador(es) está(n) en modo ""Actualizar al guardar""."
"One or more <a href=""%1"">indexers are invalid</a>. Make sure your <a href=""%2"" target=""_blank"">Magento cron job</a> is running.","Uno o más de los <a href=""%1"">indexadores no son válidos</a>. Asegúrate de que la <a href=""%2"" target=""_blank"">tarea cron de Magento</a> se está ejecutando."
"State for the same indexer","Estado para el mismo indexador"
"State for the same view","Estado para la misma vista"
"Field '%1' not found","Campo '%1' no encontrado"
"Some Exception Message","Un mensaje de excepción"
"Test Phrase","Frase de prueba"
"Change indexer mode","Cambiar el modo de indexador"
"Indexer","Indexador"
"Description","Descripción"
"Mode","Modalidad"
"Status","Estado"
"Updated","Actualizado"
