"Indexer Management","indexering management"
"%status (%count in backlog)","%status (%count in backlog)"
"Update by Schedule","Volgens schema bijwerken"
"Update on Save","Indexeren bij opslaan"
"Reindex required","Opnieuw indexeren vereist"
"Ready","Gereed"
"Processing","Bezig met verwerken"
"Never","Nooit"
"has been rebuilt successfully in %time","has been rebuilt successfully in %time"
"%1 index is locked by another reindex process. Skipping.","%1 indexer is vergrendeld door een ander indexeringsproces. Wordt overgeslagen."
"Index Management","Index Management"
"Please select indexers.","Selecteer indexeringen."
"%1 indexer(s) are in ""Update by Schedule"" mode.","%1 indexer(s) staan in ""Volgens schema bijwerken"" modus."
"We couldn't change indexer(s)' mode because of an error.","De indexer(s) modus kan niet worden aangepast vanwege een fout."
"%1 indexer(s) were invalidated.","%1 indexer(s) were invalidated."
"We couldn't invalidate indexer(s) because of an error.","We couldn't invalidate indexer(s) because of an error."
"%1 indexer(s) are in ""Update on Save"" mode.","%1 indexer(s) staan in de modus ""Bijwerken tijdens opslaan""."
"One or more <a href=""%1"">indexers are invalid</a>. Make sure your <a href=""%2"" target=""_blank"">Magento cron job</a> is running.","Een of meerdere <a href=""%1"">indexeringen zijn ongeldig</a>. Zorg ervoor dat jew <a href=""%2"" target=""_blank""> Magento cronjob</a> draait."
"Child process failed with message: %1","Child process failed with message: %1"
"State for the same indexer","Staat voor de dezelfde indexer"
"State for the same view","Staat voor de dezelfde weergave"
"Field '%1' not found","Veld '%1' niet gevonden"
"Some Exception Message","Een bericht met een uitzondering"
"Test Phrase","Test zin"
"Change indexer mode","Indexeer modus wijzigen"
"Invalidate index","Invalidate index"
"Are you sure you want to invalidate the selected index(es)?","Are you sure you want to invalidate the selected index(es)?"
"Indexer","Indexer"
"Description","Omschrijving"
"Mode","Type"
"Status","status"
"Schedule Status","Schedule Status"
"Updated","Bijgewerkt"
