"Indexer Management","Gestão de Indexadores"
"Update by Schedule","Atualizar por Agenda"
"Update on Save","Actualizar ao Gravar"
"Reindex required","Reindexação necessária"
"Ready","Pronto"
"Processing","Em processamento"
"Never","Nunca"
"%1 index is locked by another reindex process. Skipping.","O índice %1 está bloqueado por outro processo de reindexação. Saltando."
"Index Management","Gestão de Índices"
"Please select indexers.","Por favor selecione indexadores."
"%1 indexer(s) are in ""Update by Schedule"" mode.","%1 indexador(es) estão em modo ""Atualizar por Agenda""."
"We couldn't change indexer(s)' mode because of an error.","Não foi possível alterar o modo dos indexadores devido a um erro."
"%1 indexer(s) are in ""Update on Save"" mode.","%1 indexador(es) estão em modo ""Atualizar ao Gravar""."
"One or more <a href=""%1"">indexers are invalid</a>. Make sure your <a href=""%2"" target=""_blank"">Magento cron job</a> is running.","Um ou mais <a href=""%1"">indexadores são inválidos</a>. Certifique-se que o seu <a href=""%2"" target=""_blank"">trabalho cron do Magento</a> está ativo."
"State for the same indexer","Estado para o mesmo indexador"
"State for the same view","Estado para a mesma vista"
"Field '%1' not found","Campo '%1' não foi encontrado"
"Some Exception Message","Alguma Mensagem de Exceção"
"Test Phrase","Frase de Teste"
"Change indexer mode","Alterar o modo do indexador"
"Indexer","Indexador"
"Description","Descrição"
"Mode","Modo"
"Status","Estado"
"Updated","Atualizado"
