"Indexer Management","Managementul indexului"
"Update by Schedule","Actualizare de program"
"Update on Save","Actualizare la Salvare"
"Reindex required","Reindexare necesară"
"Ready","Gata"
"Processing","În prelucrare"
"Never","Niciodată"
"%1 index is locked by another reindex process. Skipping.","Indexul %1 este blocat de un alt proces de reindexare. Omitere."
"Index Management","Gestionare indexare"
"Please select indexers.","Te rog selectează indexare."
"%1 indexer(s) are in ""Update by Schedule"" mode.","Indexare %1 sunt în modul ""Update by Schedule""."
"We couldn't change indexer(s)' mode because of an error.","Nu am putut schimba modul de indexare din cauza unei erori."
"%1 indexer(s) are in ""Update on Save"" mode.","Indexare %1 sunt în modul ""Actualizare la Salvare""."
"One or more <a href=""%1"">indexers are invalid</a>. Make sure your <a href=""%2"" target=""_blank"">Magento cron job</a> is running.","Unul sau mai multe indici <a href=""%1"">sunt invalizi</a>. Asigură-te că se execută <a href=""%2"" target=""_blank"">Magento cron</a>."
"State for the same indexer","Stare pentru aceeași indexare"
"State for the same view","Stare pentru aceeași vizualizare"
"Field '%1' not found","Câmpul '%1nu a fost găsit"
"Some Exception Message","Mesaj excepție"
"Test Phrase","Frază de test"
"Change indexer mode","Schimbă modul de indexare"
"Indexer","Indexare"
"Description","Descriere"
"Mode","Mod"
"Status","Status"
"Updated","Actualizat"
