"Indexer Management","Indeksointitoiminnon hallinta"
"Update by Schedule","Päivitetään ajastetusti"
"Update on Save","Päivitä tallentaessa"
"Reindex required","Tarvitaan uudelleenindeksointi"
"Ready","Valmis"
"Processing","Käsitellään"
"Never","Ei koskaan"
"%1 index is locked by another reindex process. Skipping.","%1 index is locked by another reindex process. Skipping."
"Index Management","Indeksien hallinta"
"Please select indexers.","Please select indexers."
"%1 indexer(s) are in ""Update by Schedule"" mode.","%1 indexer(s) are in ""Update by Schedule"" mode."
"We couldn't change indexer(s)' mode because of an error.","We couldn't change indexer(s)' mode because of an error."
"%1 indexer(s) are in ""Update on Save"" mode.","%1 indexer(s) are in ""Update on Save"" mode."
"One or more <a href=""%1"">indexers are invalid</a>. Make sure your <a href=""%2"" target=""_blank"">Magento cron job</a> is running.","Vähintään yksi <a href=""%1"">indeksoija on mitätöity</a>. Varmista että <a href=""%2"" target=""_blank"">Magento ajastettu tehtävä</a> suoritetaan."
"State for the same indexer","State for the same indexer"
"State for the same view","State for the same view"
"Field '%1' not found","Kenttää '%1' ei löydy"
"Some Exception Message","Some Exception Message"
"Test Phrase","Test Phrase"
"Change indexer mode","Change indexer mode"
"Indexer","Indeksoija"
"Description","Kuvaus"
"Mode","Tila"
"Status","Tila"
"Updated","Päivitetty"
