"Indexer Management","مدیریت شاخص"
"Update by Schedule","به روز رسانی برنامه ریزی شده"
"Update on Save","به روز رسانی در هنگام ذخیره"
"Reindex required","Reindex الزامی است"
"Ready","آماده"
"Processing","پردازش"
"Never","هرگز"
"%1 index is locked by another reindex process. Skipping.","%1 شاخص توسط یک فرآیند reindex دیگر قفل شده است. رد شو."
"Index Management","مدیریت فهرست"
"Please select indexers.","لطفا شاخص ها را انتخاب نمایید."
"%1 indexer(s) are in ""Update by Schedule"" mode.","%1 شاخص در حالت ""به روز رسانی زمانبندی شده"" هستند."
"We couldn't change indexer(s)' mode because of an error.","به دلیل وجود خطا، نمی توان حالت شاخص (ها) را تغییر داد."
"%1 indexer(s) are in ""Update on Save"" mode.","%1 شاخص در حالت ""به روز رسانی در هنگام ذخیره"" است."
"One or more <a href=""%1"">indexers are invalid</a>. Make sure your <a href=""%2"" target=""_blank"">Magento cron job</a> is running.","یک یا چند <a href=""%1"">شاخص نامعتبر هستند</a>. مطمئن شوید که <a href=""%2"" target=""_blank"">Magento cron job</a> در حال اجرا است."
"State for the same indexer","حالت برای همان شاخص"
"State for the same view","حالت برای همان نما"
"Field '%1' not found","فیلد '%1' یافت نشد"
"Some Exception Message","چند پیغام استثنا"
"Test Phrase","تست عبارت"
"Change indexer mode","تغییر حالت شاخص"
"Indexer","شاخص"
"Description","توصیف"
"Mode","حالت"
"Status","وضعيت"
"Updated","به روز رسانی شده"
