"Indexer Management","Dizin Oluşturucu Yönetimi"
"%status (%count in backlog)","%status (%count in backlog)"
"Update by Schedule","Güncelleme Zamanlaması"
"Update on Save","Kaydedildiğinde Güncelle"
"Reindex required","Yeninden dizinleme gerekli"
"Ready","Hazır"
"Processing","İşleniyor"
"Never","Asla"
"has been rebuilt successfully in %time","has been rebuilt successfully in %time"
"%1 index is locked by another reindex process. Skipping.","%1 dizini başka bir yeniden dizinleme işlemi tarafından kilitlendi. Atlama."
"Index Management","İndeks Yönetimi"
"Please select indexers.","Lütfen dizin oluşturucuları seçin."
"%1 indexer(s) are in ""Update by Schedule"" mode.","%1 indeksleyici(ler) ""Güncelleme Zamanlamalı"" modunda."
"We couldn't change indexer(s)' mode because of an error.","Bir hata yüzünden dizinleyici(ler)' modunu değiştiremedik."
"%1 indexer(s) were invalidated.","%1 indexer(s) were invalidated."
"We couldn't invalidate indexer(s) because of an error.","We couldn't invalidate indexer(s) because of an error."
"%1 indexer(s) are in ""Update on Save"" mode.","%1 indeksleyici(ler) ""Kaydederken Güncelle"" modunda."
"One or more <a href=""%1"">indexers are invalid</a>. Make sure your <a href=""%2"" target=""_blank"">Magento cron job</a> is running.","Bir veya daha fazla <a href=""%1"">indexers are invalid </a>. <a href=""%2"" target=""_blank""> Magento cron job</a> çalıştığından emin olun."
"Child process failed with message: %1","Child process failed with message: %1"
"State for the same indexer","Aynı indeksleyici için durum"
"State for the same view","Aynı görüş için durum"
"Field '%1' not found","'%1' alanı bulunamadı"
"Some Exception Message","Bazı İstisna Mesajı"
"Test Phrase","Test Cümle"
"Change indexer mode","Dizin oluşturucu modunu değiştir"
"Invalidate index","Invalidate index"
"Are you sure you want to invalidate the selected index(es)?","Are you sure you want to invalidate the selected index(es)?"
"Indexer","Dizin oluşturucu"
"Description","Açıklama"
"Mode","Kip"
"Status","Durum"
"Schedule Status","Schedule Status"
"Updated","Güncellendi"
