"State/Province","Staat/Provincie"
"--Please Select--","--Maak een keuze--"
"lbs","lbs"
"kgs","kg."
"Requested country is not available.","Verzochte land is niet beschikbaar."
"Undefined rate from ""%1-%2"".","Onbepaald tarief van ""%1-%2""."
"Please correct the target currency.","Corrigeer de doel-munt."
"label","label"
"We can't retrieve a rate from %1 for %2.","Tarief van %1 voor %2 kan niet worden opgehaald."
"We can't retrieve a rate from %1.","We kunnen geen tarief ophalen uit %1."
"FATAL ERROR:","FATALE FOUT:"
"We can't initialize the import model.","We kunnen het importmodel niet initialiseren."
"Please specify the correct Import Service.","Geef een juiste Import Service op."
"WARNING:","WAARSCHUWING:"
"Please correct the country code: %1.","Corrigeer de landcode: %1."
"Country and Format Type combination should be unique","Combinatie van land en formaattype moet uniek zijn"
"Please correct the rates received","Corrigeer de ontvangen tarieven"
"Please select a region, state or province.","Selecteer regio, staat of provincie."
"Currency","Valuta"
"Your current currency is: %1.","Uw huidige valuta is: %1."
"Continue","Doorgaan"
"Currency Update Warnings","Waarschuwingen valuta-update"
"Currency Setup","Valuta-instellingen"
"Currency Options","Valuta-opties"
"Base Currency","Basis-valuta"
"Base currency is used for all online payment transactions. The base currency scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","Basis valuta wordt gebruikt voor alle online transacties. De basis valuta scope is gedefineerd door de catalogus prijs scope (Catalogus > Prijs > Catalogus Prijs Scope)."
"Default Display Currency","Standaard-weergave valuta"
"Allowed Currencies","Toegestane valuta"
"Yahoo Finance Exchange","Yahoo Finance Exchange"
"Connection Timeout in Seconds","Connectie timeout in seconden"
"Fixer.io","Fixer.io"
"Webservicex","Webservicex instellingen"
"Scheduled Import Settings","Instellingen geplande import"
"Enabled","Ingeschakeld"
"Error Email Recipient","E-mailadres ontvanger van foutmelding"
"Error Email Sender","Afzender Foutmelding Email"
"Error Email Template","Foutmelding Email Template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","E-mail sjabloon dat gekozen wordt op basis van thema fallback als de optie ""Standaard"" is geselecteerd."
"Frequency","Frequentie"
"Service","Service"
"Start Time","Begin Tijd"
"Installed Currencies","Geinstalleerde valuta"
"Zip/Postal Code is Optional for","Postcode is optioneel voor"
"State Options","Staat-opties"
"State is Required for","Staat is verplicht voor"
"Allow to Choose State if It is Optional for Country","Mogelijkheid tot kiezen van staat indien het optioneel is voor een land"
"Weight Unit","Gewichtseenheid"
"Base currency is used for all online payment transactions. If you have more than one store view, the base currency scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","Basisvaluta wordt gebruikt voor alle online betalingstransacties. Als u meerdere Winkelaanzichten heeft, wordt de basisvaluta vastgelegd bij de Catalogusprijzen (""Catalogus"" > ""Prijs"" > ""Catalogus Prijs Scope"")."
"No API Key was specified or an invalid API Key was specified.","Geen API-sleutel is opgegeven of een ongeldige API-sleutel is opgegeven."
"The account this API request is coming from is inactive.","Het account waar deze API-aanvraag vandaan komt, is inactief."
"The ""%1"" is not allowed as base currency for your subscription plan.","""%1"" is niet toegestaan als basisvaluta voor uw abonnement."
"An invalid base currency has been entered.","Een ongeldige basisvaluta is ingevoerd."
"Currency rates can't be retrieved.","Wisselkoersen kunnen niet worden opgehaald."
"API Key","API-sleutel"
"The country isn't available.","Het land is niet beschikbaar."
"The import model can't be initialized. Verify the model and try again.","Het importmodel kan niet worden geïnitialiseerd. Controleer het model en probeer het opnieuw."
"Currency Converter API","Valuta Converteerder API"
