"State/Province","Држава"
"--Please Select--","--- Молимо одаберите ---"
"lbs","фунте"
"kgs","кг"
"Requested country is not available.","Requested country is not available."
"Undefined rate from ""%1-%2"".","Недефинисана стопа од ""%1-%2""."
"Please correct the target currency.","Молимо исправите циљану валуту."
"label","ознака"
"We can't retrieve a rate from %1 for %2.","Не можемо вратити стопу из %1 за %2."
"We can't retrieve a rate from %1.","We can't retrieve a rate from %1."
"FATAL ERROR:","ФАТАЛНА ГРЕШКА:"
"We can't initialize the import model.","We can't initialize the import model."
"Please specify the correct Import Service.","Молимо дефинишите исправан Сервис Увоза."
"WARNING:","УПОЗОРЕЊЕ:"
"Please correct the country code: %1.","Молимо исправите код државе: %1."
"Country and Format Type combination should be unique","Комбинација Типа Државе и Формата треба да буде јединствена"
"Please correct the rates received","Молимо коригујте примљене стопе"
"Please select a region, state or province.","Молимо одаберите место."
"Currency","Валута"
"Your current currency is: %1.","Ваша тренутна валута је: %1."
"Continue","Настави"
"Currency Update Warnings","Упозорења о Ажурирањима Валуте"
"Currency Setup","Подешавање Валута"
"Currency Options","Опције Валута"
"Base Currency","Основна Валута"
"Base currency is used for all online payment transactions. The base currency scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","Основна валута се користи за све онлине трансакције плаћања. Опсег основне валуте дефинисан је опсегом цене каталога (""Цаталог"" > ""Прице"" > ""Цаталог Прице Сцопе"")."
"Default Display Currency","Подразумевани Приказ Валуте"
"Allowed Currencies","Дозвољене Валуте"
"Yahoo Finance Exchange","Yahoo Finance Exchange"
"Connection Timeout in Seconds","Истек Конекције у Секундама"
"Fixer.io","Fixer.io"
"Webservicex","Webservicex"
"Scheduled Import Settings","Подешавање Заказаних Уноса"
"Enabled","Омогућено"
"Error Email Recipient","Погрешан Прималац Мејла"
"Error Email Sender","Погрешан Пошиљалац Мејла"
"Error Email Template","Погрешан Мејл Шаблон"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Шаблон мејла се бира на основу теме када је изабрана опција ""Подразумевано""."
"Frequency","Учесталост"
"Service","Сервис"
"Start Time","Време почетка"
"Installed Currencies","Инсталиране Валуте"
"Zip/Postal Code is Optional for","Фах/Поштански Број је Опцион за"
"State Options","Опције Државе"
"State is Required for","Држава је Захтевана за"
"Allow to Choose State if It is Optional for Country","Дозволи Одабир Државе ако је Опционо за Државу"
"Weight Unit","Јединица Тежине"
"Base currency is used for all online payment transactions. If you have more than one store view, the base currency scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","Основна валута се користи за све онлине трансакције плаћања. Ако имате више од једног приказа продавнице, опсег основне валуте дефинисан је опсегом цене каталога (""Цаталог"" > ""Прице"" > ""Цаталог Прице Сцопе"")."
"No API Key was specified or an invalid API Key was specified.","АПИ Кључ није дефинисан или је погрешан АПИ Кључ дефинисан."
"The account this API request is coming from is inactive.","Налог са којег долази овај АПИ захтев је неактиван."
"The ""%1"" is not allowed as base currency for your subscription plan.","""%1"" није дозвољен као основна валута у плану претплате."
"An invalid base currency has been entered.","Уписана је неважећа основна валута."
"Currency rates can't be retrieved.","Стопе валуте не могу бити враћене."
"API Key","АПИ кључ"
"The country isn't available.","Држава није доступна."
"The import model can't be initialized. Verify the model and try again.","Модел увоза не може бити иницијализован. Проверите модел и покушајте поново."
"Currency Converter API","АПИ Конвертер Валуте"
