"State/Province","Država"
"--Please Select--","--- Molimo odaberite ---"
"lbs","funte"
"kgs","kg"
"Requested country is not available.","Requested country is not available."
"Undefined rate from ""%1-%2"".","Nedefinisana stopa od ""%1-%2""."
"Please correct the target currency.","Molimo ispravite ciljanu valutu."
"label","oznaka"
"We can't retrieve a rate from %1 for %2.","Ne možemo vratiti stopu iz %1 za %2."
"We can't retrieve a rate from %1.","We can't retrieve a rate from %1."
"FATAL ERROR:","FATALNA GREŠKA:"
"We can't initialize the import model.","We can't initialize the import model."
"Please specify the correct Import Service.","Molimo definišite ispravan Servis Uvoza."
"WARNING:","UPOZORENJE:"
"Please correct the country code: %1.","Molimo ispravite kod države: %1."
"Country and Format Type combination should be unique","Kombinacija Tipa Države i Formata treba da bude jedinstvena"
"Please correct the rates received","Molimo korigujte primljene stope"
"Please select a region, state or province.","Molimo odaberite mesto."
"Currency","Valuta"
"Your current currency is: %1.","Vaša trenutna valuta je: %1."
"Continue","Nastavi"
"Currency Update Warnings","Upozorenja o Ažuriranjima Valute"
"Currency Setup","Podešavanje Valuta"
"Currency Options","Opcije Valuta"
"Base Currency","Osnovna Valuta"
"Base currency is used for all online payment transactions. The base currency scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","Osnovna valuta se koristi za sve online transakcije plaćanja. Opseg osnovne valute definisan je opsegom cene kataloga (""Catalog"" > ""Price"" > ""Catalog Price Scope"")."
"Default Display Currency","Podrazumevani Prikaz Valute"
"Allowed Currencies","Dozvoljene Valute"
"Yahoo Finance Exchange","Yahoo Finance Exchange"
"Connection Timeout in Seconds","Istek Konekcije u Sekundama"
"Fixer.io","Fixer.io"
"Webservicex","Webservicex"
"Scheduled Import Settings","Podešavanje Zakazanih Unosa"
"Enabled","Omogućeno"
"Error Email Recipient","Pogrešan Primalac Mejla"
"Error Email Sender","Pogrešan Pošiljalac Mejla"
"Error Email Template","Pogrešan Mejl Šablon"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Šablon mejla se bira na osnovu teme kada je izabrana opcija ""Podrazumevano""."
"Frequency","Učestalost"
"Service","Servis"
"Start Time","Vreme početka"
"Installed Currencies","Instalirane Valute"
"Zip/Postal Code is Optional for","Fah/Poštanski Broj je Opcion za"
"State Options","Opcije Države"
"State is Required for","Država je Zahtevana za"
"Allow to Choose State if It is Optional for Country","Dozvoli Odabir Države ako je Opciono za Državu"
"Weight Unit","Jedinica Težine"
"Base currency is used for all online payment transactions. If you have more than one store view, the base currency scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","Osnovna valuta se koristi za sve online transakcije plaćanja. Ako imate više od jednog prikaza prodavnice, opseg osnovne valute definisan je opsegom cene kataloga (""Catalog"" > ""Price"" > ""Catalog Price Scope"")."
"No API Key was specified or an invalid API Key was specified.","API Ključ nije definisan ili je pogrešan API Ključ definisan."
"The account this API request is coming from is inactive.","Nalog sa kojeg dolazi ovaj API zahtev je neaktivan."
"The ""%1"" is not allowed as base currency for your subscription plan.","""%1"" nije dozvoljen kao osnovna valuta u planu pretplate."
"An invalid base currency has been entered.","Upisana je nevažeća osnovna valuta."
"Currency rates can't be retrieved.","Stope valute ne mogu biti vraćene."
"API Key","API ključ"
"The country isn't available.","Država nije dostupna."
"The import model can't be initialized. Verify the model and try again.","Model uvoza ne može biti inicijalizovan. Proverite model i pokušajte ponovo."
"Currency Converter API","API Konverter Valute"
