"[GLOBAL]","[GLOBAALI]"
"[WEBSITE]","[VERKKOKAUPPA]"
"[STORE VIEW]","[KAUPPANÄKYMÄ]"
"The current module XML block name is undefined.","Nykyisen moduulin XML-lohkon nimeä ei ole määritetty."
"The current module form model pathname is undefined.","The current module form model pathname is undefined."
"No","Ei"
"Yes","Kyllä"
"Use helper with defined EAV entity.","Use helper with defined EAV entity."
"Default EAV Form","Default EAV Form"
"Please correct the values for minimum and maximum text length validation rules.","Please correct the values for minimum and maximum text length validation rules."
"Please correct the values for minimum and maximum date validation rules.","Please correct the values for minimum and maximum date validation rules."
"Text Field","Tekstikenttä"
"Text Area","Tekstialue"
"Multiple Line","Multiple Line"
"Date","Päivämäärä"
"Dropdown","Pudotusvalikko"
"Multiple Select","Monivalinta"
"Yes/No","Kyllä/Ei"
"File (attachment)","Tiedosto (liite)"
"Image File","Kuvatiedosto"
"Alphanumeric","Aakkosnumeerinen"
"Numeric Only","Vain numeerinen"
"Alpha Only","Alpha Only"
"URL","Osoite"
"Email","Sähköposti"
"Strip HTML Tags","Strip HTML Tags"
"Escape HTML Entities","Escape HTML Entities"
"Normalize Date","Normalize Date"
"The attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_) in this field. The first character should be a letter.","The attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_) in this field. The first character should be a letter."
"Please correct the value for file extensions.","Please correct the value for file extensions."
"Alphanumeric with spaces","Alphanumeric with spaces"
