"[GLOBAL]","[GLOBAALNE]"
"[WEBSITE]","[WEBSITE]"
"[STORE VIEW]","[POEVAADE]"
"The current module XML block name is undefined.","Selle mooduli XML ploki nimi on määratlemata."
"The current module form model pathname is undefined.","The current module form model pathname is undefined."
"No","Ei"
"Yes","Jah"
"Use helper with defined EAV entity.","Use helper with defined EAV entity."
"Default EAV Form","Default EAV Form"
"Please correct the values for minimum and maximum text length validation rules.","Please correct the values for minimum and maximum text length validation rules."
"Please correct the values for minimum and maximum date validation rules.","Please correct the values for minimum and maximum date validation rules."
"Text Field","Tekstiväli"
"Text Area","Tekstiala"
"Multiple Line","Mitu rida"
"Date","Kuupäev"
"Dropdown","Rippvalik"
"Multiple Select","Multivalik"
"Yes/No","Jah/ei"
"File (attachment)","Fail (manus)"
"Image File","Pildifail"
"Alphanumeric","Numbrid ja tähed"
"Numeric Only","Ainult numbrid"
"Alpha Only","Ainult tähed"
"URL","Veebiaadress"
"Email","E-post"
"Strip HTML Tags","Kõrvalda HTML märgendid"
"Escape HTML Entities","Escape HTML Entities"
"Normalize Date","Normalize Date"
"The attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_) in this field. The first character should be a letter.","The attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_) in this field. The first character should be a letter."
"Please correct the value for file extensions.","Please correct the value for file extensions."
"Alphanumeric with spaces","Alphanumeric with spaces"
