"[GLOBAL]","[Глобален]"
"[WEBSITE]","[Уебсайт]"
"[STORE VIEW]","[Изглед Магазин]"
"The current module XML block name is undefined.","Името на текущия модул от XML блок е недефиниран."
"The current module form model pathname is undefined.","Текущата модулна форма модел име_на_път е недефиниран."
"No","Не"
"Yes","Да"
"Use helper with defined EAV entity.","Използвайте помощник с дефинирани EAV обект."
"Default EAV Form","EAV формуляр по подразбиране"
"Please correct the values for minimum and maximum text length validation rules.","Коригирайте стойностите за правилата за проверка на текст на минималната и максималната дължина."
"Please correct the values for minimum and maximum date validation rules.","Коригирайте стойностите за правилата за проверка на минималния и максималния срок."
"Text Field","Текстово поле"
"Text Area","Пространство за текст"
"Multiple Line","Няколко реда"
"Date","Дата"
"Dropdown","Падащо меню"
"Multiple Select","Многоброен избор"
"Yes/No","Да/не"
"File (attachment)","Файл (прикачен файл)"
"Image File","Изображение"
"Alphanumeric","Буквено-цифров"
"Numeric Only","Само цифра"
"Alpha Only","Само буква"
"URL","URL"
"Email","Имейл"
"Strip HTML Tags","Ивица HTML тагове"
"Escape HTML Entities","Escape HTML единици"
"Normalize Date","Нормализиране на дата"
"The attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_) in this field. The first character should be a letter.","Кодът на атрибута е невалиден. Моля, използвайте само букви (a-z), цифри (0-9) или знаци за подчертаване (_) в това поле. Първият знак трябва да бъде буква."
"Please correct the value for file extensions.","Моля променете стойноста за файлово разширение."
"Alphanumeric with spaces","Буквеноцифрово с празни позиции"
