"Custom Variables","Biến tùy chỉnh"
"Add New Variable","Thêm biến mới"
"Save and Continue Edit","Lưu và tiếp tục chỉnh sửa"
"Custom Variable ""%1""","Tuỳ biến ""%1"""
"New Custom Variable","Biến tùy chỉnh mới"
"Variable","Biến"
"Variable Code","Thay đổi mã"
"Variable Name","Thay đổi tên"
"Use Default Variable Values","Sử dụng giá trị biến mặc định"
"No","Không"
"Yes","Có"
"Variable HTML Value","Thay đổi giá trị HTML"
"Variable Plain Value","Thay đổi giá trị Plain"
"You deleted the custom variable.","Bạn đã xoá các biến tuỳ."
"You saved the custom variable.","Bạn đã lưu các tuỳ biến."
"Variable Code must be unique.","Mã thay đổi phải là duy nhất."
"Validation has failed.","Xác nhận đã thất bại."
"%1","%1"
"Insert Variable...","Chèn biến..."
"Variable ID","ID có thể thay đổi"
"Name","Tên"
"Custom Variable","Custom Variable"
"Base URL","Base URL"
"Secure Base URL","Secure Base URL"
"Web","Web"
"Edit Variable","Edit Variable"
"Insert Variable","Insert Variable"
"The variable %1 is no longer available. Select a different variable.","The variable %1 is no longer available. Select a different variable."
"Cancel","Cancel"
"Save","Save"
"Type","Type"
"Code","Code"
