"Custom Variables","Pielāgoti mainīgie"
"Add New Variable","Pievienot jaunu mainīgo"
"Save and Continue Edit","Saglabāt un turpināt labot"
"Custom Variable ""%1""","Pielāgots mainīgais ""%1"""
"New Custom Variable","Jauns pielāgots mainīgais"
"Variable","Mainīgais"
"Variable Code","Mainīgā kods"
"Variable Name","Mainīgā nosaukums"
"Use Default Variable Values","Lietot noklusētās mainīgo vērtības"
"No","Nē"
"Yes","Jā"
"Variable HTML Value","Mainīgā HTML vērtība"
"Variable Plain Value","Mainīgā vienkārš vērtība"
"You deleted the custom variable.","Mainīgais tika nodzēsts."
"You saved the custom variable.","Mainīgais tika saglabāts."
"Variable Code must be unique.","Mainīgā kodam jābūt unikālam."
"Validation has failed.","Kļūdaina validācija."
"%1","%1"
"Insert Variable...","Ievadīt mainīgo..."
"Variable ID","Mainīgā ID"
"Name","Vārds"
"Custom Variable","Pielāgots mainīgais"
"Base URL","Pamata URL"
"Secure Base URL","Drošā pamata URL"
"Web","Web"
"Edit Variable","Labot mainīgo"
"Insert Variable","Ievadīt mainīgo"
"The variable %1 is no longer available. Select a different variable.","Mainīgais %1 nav pieejams. Izvēlieties citu mainīgo."
"Cancel","Atcelt"
"Save","Saglabāt"
"Type","Veids"
"Code","Kods"
