"Custom Variables","Tilpassede variabler"
"Add New Variable","Tilføj ny variabel"
"Save and Continue Edit","Gem og fortsæt redigering"
"Custom Variable ""%1""","Brugerdefineret variabel ""%1"""
"New Custom Variable","Nye brugerdefinerede variabel"
"Variable","Variabel"
"Variable Code","Variable koden"
"Variable Name","Variabelnavnet"
"Use Default Variable Values","Bruge standard Variable værdier"
"No","Nej"
"Yes","Ja"
"Variable HTML Value","HTML variabelværdi"
"Variable Plain Value","Variable Plain Value"
"You deleted the custom variable.","You deleted the custom variable."
"You saved the custom variable.","You saved the custom variable."
"Variable Code must be unique.","Variable Code must be unique."
"Validation has failed.","Validation has failed."
"%1","%1"
"Insert Variable...","Indsæt variabel..."
"Variable ID","Variable ID"
"Name","Navn"
"Custom Variable","Custom Variable"
"Base URL","Base URL"
"Secure Base URL","Secure Base URL"
"Web","Web"
"Edit Variable","Edit Variable"
"Insert Variable","Insert Variable"
"The variable %1 is no longer available. Select a different variable.","The variable %1 is no longer available. Select a different variable."
"Cancel","Cancel"
"Save","Save"
"Type","Type"
"Code","Code"
