"Custom Variables","Benutzerdefinierte Variablen"
"Add New Variable","Neue Variable hinzufügen"
"Save and Continue Edit","Speichern und weiter bearbeiten"
"Custom Variable ""%1""","Benutzerdefinierte Variable ""%1"""
"New Custom Variable","Neue benutzerdefinierte Variable"
"Variable","Variable"
"Variable Code","Variablencode"
"Variable Name","Variablenname"
"Use Default Variable Values","Verwende Standardwerte für Variablen"
"No","Nein"
"Yes","Ja"
"Variable HTML Value","Variablen HTML Wert"
"Variable Plain Value","Variablen Text Wert"
"You deleted the custom variable.","Sie haben die benutzerdefinierte Variable gelöscht."
"You saved the custom variable.","Sie haben die benutzerdefinierte Variable gespeichert."
"Variable Code must be unique.","Variablencode muss eindeutig sein."
"Validation has failed.","Fehler bei der Überprüfung."
"%1","%1"
"Insert Variable...","Füge Variable ein …"
"Variable ID","Variablen ID"
"Name","Name"
"Custom Variable","Custom Variable"
"Base URL","Base URL"
"Secure Base URL","Secure Base URL"
"Web","Web"
"Edit Variable","Edit Variable"
"Insert Variable","Insert Variable"
"The variable %1 is no longer available. Select a different variable.","The variable %1 is no longer available. Select a different variable."
"Cancel","Cancel"
"Save","Save"
"Type","Type"
"Code","Code"
