"Custom Variables","משתנים מותאמים אישית"
"Add New Variable","הוסף משתנה חדש"
"Save and Continue Edit","שמור והמשך בעריכה"
"Custom Variable ""%1""","משתנה מותאם אישית ""%1"""
"New Custom Variable","משתנה מותאם אישית חדש"
"Variable","משתנה"
"Variable Code","קוד משתנה"
"Variable Name","שם משתנה"
"Use Default Variable Values","השתמש בערכי ברירת המחדל של משתנה"
"No","לא"
"Yes","כן"
"Variable HTML Value","ערך ה-HTML של המשתנה"
"Variable Plain Value","ערך משתנה פשוט"
"You deleted the custom variable.","מחקת את המשתנה מותאם אישית."
"You saved the custom variable.",". שמרת את המשתנה מותאם אישית."
"Variable Code must be unique.","קוד משתנה חייב להיות ייחודי."
"Validation has failed.","האימות נכשל."
"%1","%1"
"Insert Variable...","הוסף משתנה..."
"Variable ID","מספר מזהה של משתנה"
"Name","שם"
"Custom Variable","Custom Variable"
"Base URL","Base URL"
"Secure Base URL","Secure Base URL"
"Web","Web"
"Edit Variable","Edit Variable"
"Insert Variable","Insert Variable"
"The variable %1 is no longer available. Select a different variable.","The variable %1 is no longer available. Select a different variable."
"Cancel","Cancel"
"Save","Save"
"Type","Type"
"Code","Code"
