"Custom Variables","Egyéni változók"
"Add New Variable","Új változó hozzáadása"
"Save and Continue Edit","Mentés és szerkesztés folytatása"
"Custom Variable ""%1""","Egyéni változó ""%1"""
"New Custom Variable","Új egyéni változó"
"Variable","Változó"
"Variable Code","Változó kódja"
"Variable Name","Változó neve"
"Use Default Variable Values","Alapértelmezett változó értékek használata"
"No","Nem "
"Yes","Igen"
"Variable HTML Value","Változó HTML érték"
"Variable Plain Value","Változó egyszerű érték"
"You deleted the custom variable.","Törölte az egyéni változót."
"You saved the custom variable.","Mentette az egyéni változót."
"Variable Code must be unique.","A változó kódjának egyedinek kell lennie."
"Validation has failed.","Az ellenőrzés sikertelen."
"%1","%1"
"Insert Variable...","Változó beszúrása..."
"Variable ID","Változó ID"
"Name","Név"
"Custom Variable","Custom Variable"
"Base URL","Base URL"
"Secure Base URL","Secure Base URL"
"Web","Web"
"Edit Variable","Edit Variable"
"Insert Variable","Insert Variable"
"The variable %1 is no longer available. Select a different variable.","The variable %1 is no longer available. Select a different variable."
"Cancel","Cancel"
"Save","Save"
"Type","Type"
"Code","Code"
