"Custom Variables","Tilpassede variabler"
"Add New Variable","Legg til ny variabel"
"Save and Continue Edit","Lagre og fortsett redigering"
"Custom Variable ""%1""","Tilpasset variabel ""%1"""
"New Custom Variable","Ny tilpasset variabel"
"Variable","Variabel"
"Variable Code","Variabel kode"
"Variable Name","Variabelnavn"
"Use Default Variable Values","Use Default Variable Values"
"No","Nei"
"Yes","Ja"
"Variable HTML Value","Variabel HTML Verdi"
"Variable Plain Value","Variabel Enkel Verdi"
"You deleted the custom variable.","Du slettet den egendefinerte variabelen."
"You saved the custom variable.","Du lagret den egendefinerte variabelen."
"Variable Code must be unique.","Variabel kode må være unik."
"Validation has failed.","Valideringen mislyktes."
"%1","%1"
"Insert Variable...","Sett inn variabel..."
"Variable ID","Variabel ID"
"Name","Navn"
"Custom Variable","Custom Variable"
"Base URL","Base URL"
"Secure Base URL","Secure Base URL"
"Web","Web"
"Edit Variable","Edit Variable"
"Insert Variable","Insert Variable"
"The variable %1 is no longer available. Select a different variable.","The variable %1 is no longer available. Select a different variable."
"Cancel","Cancel"
"Save","Save"
"Type","Type"
"Code","Code"
