"Custom Variables","Custom Variabelen"
"Add New Variable","Voeg nieuwe variabele toe"
"Save and Continue Edit","Toepassen"
"Custom Variable ""%1""","Aangepaste variabele ""%1"""
"New Custom Variable","Nieuwe aangepaste variabele"
"Variable","Variabel"
"Variable Code","Variabele Code"
"Variable Name","Variabele Naam"
"Use Default Variable Values","Standaard waarde van variabele gebruiken"
"No","Nee"
"Yes","Ja"
"Variable HTML Value","Variabele HTML-waarde"
"Variable Plain Value","Variabele platte waarde"
"You deleted the custom variable.","U heeft de aangepaste variabele verwijderd."
"You saved the custom variable.","U heeft de aangepaste variable bewaard."
"Variable Code must be unique.","Variabele code moet uniek zijn"
"Validation has failed.","Validatie is mislukt."
"%1","%1"
"Insert Variable...","Variabele waarde invoegen..."
"Variable ID","Variabele ID"
"Name","Naam"
"Custom Variable","Custom Variable"
"Base URL","Base URL"
"Secure Base URL","Secure Base URL"
"Web","Web"
"Edit Variable","Edit Variable"
"Insert Variable","Insert Variable"
"The variable %1 is no longer available. Select a different variable.","The variable %1 is no longer available. Select a different variable."
"Cancel","Cancel"
"Save","Save"
"Type","Type"
"Code","Code"
