"Custom Variables","Vlastní proměnné"
"Add New Variable","Přidat novou proměnnou"
"Save and Continue Edit","Použít"
"Custom Variable ""%1""","Vlastní proměnná ""%1"""
"New Custom Variable","Nová vlastní proměnná"
"Variable","Proměnná"
"Variable Code","Kód proměnné"
"Variable Name","Název proměnné"
"Use Default Variable Values","Použít výchozí hodnoty proměnných"
"No","Ne"
"Yes","Ano"
"Variable HTML Value","HTML hodnota proměnné"
"Variable Plain Value","Textová hodnota proměnné"
"You deleted the custom variable.","Vlastní proměnná byla odstraněna."
"You saved the custom variable.","Vlastní proměnná byla uložena."
"Variable Code must be unique.","Kód proměnné musí být jedinečný."
"Validation has failed.","Ověření se nezdařilo."
"%1","%1"
"Insert Variable...","Vložit proměnnou..."
"Variable ID","ID proměnné"
"Name","Jméno"
"Custom Variable","Custom Variable"
"Base URL","Base URL"
"Secure Base URL","Secure Base URL"
"Web","Web"
"Edit Variable","Edit Variable"
"Insert Variable","Insert Variable"
"The variable %1 is no longer available. Select a different variable.","The variable %1 is no longer available. Select a different variable."
"Cancel","Cancel"
"Save","Save"
"Type","Type"
"Code","Code"
