"Custom Variables","Anpassade variabler"
"Add New Variable","Lägg till ny variabel"
"Save and Continue Edit","Spara och Fortsätt Redigera"
"Custom Variable ""%1""","Anpassade variabeln ""%1"""
"New Custom Variable","Nya Anpassade variabler"
"Variable","Variabel"
"Variable Code","Variabel kod"
"Variable Name","Variabelns namn"
"Use Default Variable Values","Använd förvalda variabelvärden"
"No","Nej"
"Yes","Ja"
"Variable HTML Value","Variabelt HTML Värde"
"Variable Plain Value","Variabelt oformaterat värde"
"You deleted the custom variable.","Du bort anpassade variabeln."
"You saved the custom variable.","Du sparade den anpassade variabeln."
"Variable Code must be unique.","Variabelkoden måste vara unik."
"Validation has failed.","Valideringen misslyckades."
"%1","%1"
"Insert Variable...","Infoga variabel..."
"Variable ID","Variabel ID"
"Name","Namn"
"Custom Variable","Custom Variable"
"Base URL","Base URL"
"Secure Base URL","Secure Base URL"
"Web","Web"
"Edit Variable","Edit Variable"
"Insert Variable","Insert Variable"
"The variable %1 is no longer available. Select a different variable.","The variable %1 is no longer available. Select a different variable."
"Cancel","Cancel"
"Save","Save"
"Type","Type"
"Code","Code"
