"No token found.","Tähist ei leitud."
"Wrong request.","Wrong request."
"Deletion failure. Please try again.","Deletion failure. Please try again."
"Stored Payment Method was successfully removed","Salvestatud makseviis eemaldatud edukalt"
"Stored Payment Methods","Salvestatud makseviisid"
"No available payment tokens for specified order payment.","No available payment tokens for specified order payment."
"Card Number","Kaardinumber"
"Expiration Date","Aegumiskuupäev"
"Type","Tüüp"
"You have no stored payment methods.","Teil pole salvestatud makseviise."
"ending","ending"
"Actions","Toimingud"
"Delete","Kustuta"
"PayPal Account","Paypali konto"
"Cancel","Tühista"
"No payment tokens are available for the specified order payment.","No payment tokens are available for the specified order payment."
"Credit Card was successfully removed","Credit Card was successfully removed"
"My Credit Cards","My Credit Cards"
"You have no credit cards.","You have no credit cards."
