"No token found.","Geen token gevonden."
"Wrong request.","Verkeerd verzoek."
"Deletion failure. Please try again.","Verwijderen mislukt. Probeer het opnieuw."
"Stored Payment Method was successfully removed","Opgeslagen betalingsmethode werd met succes verwijderd"
"Stored Payment Methods","Opgeslagen betalingsmethoden"
"No payment tokens are available for the specified order payment.","No payment tokens are available for the specified order payment."
"Card Number","Kaartnummer"
"Expiration Date","Vervaldatum"
"Type","Soort"
"You have no stored payment methods.","Je hebt geen opgeslagen betaalmethoden."
"ending","einde"
"Actions","Acties"
"Delete","Verwijder"
"Are you sure you want to delete this card: %1?","Are you sure you want to delete this card: %1?"
"PayPal Account","PayPal-account"
"expires","expires"
"Place Order","Place Order"
"Cancel","Annuleer"
