"No token found.","Ingen token funnet."
"Wrong request.","Feil forespørsel."
"Deletion failure. Please try again.","Feil ved sletting. Prøv på nytt."
"Stored Payment Method was successfully removed","Stored Payment Method was successfully removed"
"Stored Payment Methods","Lagrede betalingsmetoder"
"No available payment tokens for specified order payment.","No available payment tokens for specified order payment."
"Card Number","Kortnummer"
"Expiration Date","Utløpsdato"
"Type","Type"
"You have no stored payment methods.","You have no stored payment methods."
"ending","slutter"
"Actions","Handlinger"
"Delete","Slett"
"PayPal Account","PayPal-konto"
"Cancel","Avbryt"
"Are you sure you want to delete this card: %1?","Are you sure you want to delete this card: %1?"
