"No token found.","Tunnussanomaa ei löydy."
"Wrong request.","Väärä pyyntö."
"Deletion failure. Please try again.","Poistaminen epäonnistui. Yritä uudelleen."
"Stored Payment Method was successfully removed","Tallennettu maksutapa poistettiin onnistuneesti"
"Stored Payment Methods","Tallennetut maksutavat"
"No available payment tokens for specified order payment.","No available payment tokens for specified order payment."
"Card Number","Kortin numero"
"Expiration Date","Viimeinen voimassaolopäivä"
"Type","Tyyppi"
"You have no stored payment methods.","Sinulla ei ole tallennettuja maksutapoja."
"ending","päättyy"
"Actions","Toiminnot"
"Delete","Poista"
"PayPal Account","PayPal-tili"
"Cancel","Peruuta"
"Are you sure you want to delete this card: %1?","Are you sure you want to delete this card: %1?"
