"No token found.","Ingen token hittades."
"Wrong request.","Felaktig begäran."
"Deletion failure. Please try again.","Raderingen misslyckades. Vänligen försök igen."
"Stored Payment Method was successfully removed","Sparad betalningsmetod har tagits bort"
"Stored Payment Methods","Lagrade betalningsmetoder"
"No available payment tokens for specified order payment.","No available payment tokens for specified order payment."
"Card Number","Kortnummer"
"Expiration Date","Utgångsdatum"
"Type","Typ"
"You have no stored payment methods.","Du har inga sparade betalningsmetoder."
"ending","slutar"
"Actions","Åtgärder"
"Delete","Ta bort"
"PayPal Account","PayPal-konto"
"Cancel","Avbryt"
"No payment tokens are available for the specified order payment.","No payment tokens are available for the specified order payment."
"Credit Card was successfully removed","Credit Card was successfully removed"
"My Credit Cards","My Credit Cards"
"You have no credit cards.","You have no credit cards."
