"No token found.","Nav atrasts marķieris."
"Wrong request.","Nepareizs pieprasījums."
"Deletion failure. Please try again.","Dzēšanas kļūda. Mēģiniet vēlreiz."
"Stored Payment Method was successfully removed","Saglabātais Maksājumu veids ir nodzēsts"
"Stored Payment Methods","Saglabātie Maksājumu veidi"
"No available payment tokens for specified order payment.","No available payment tokens for specified order payment."
"Card Number","Kartes numurs"
"Expiration Date","Derīguma termiņš"
"Type","Veids"
"You have no stored payment methods.","Jums nav saglabātas maksājumu metodes."
"ending","beigu"
"Actions","Darbības"
"Delete","Dzēst"
"PayPal Account","Paypal konts"
"Cancel","Atcelt"
"No payment tokens are available for the specified order payment.","No payment tokens are available for the specified order payment."
"Credit Card was successfully removed","Credit Card was successfully removed"
"My Credit Cards","My Credit Cards"
"You have no credit cards.","You have no credit cards."
