"No token found.","Ingen token hittades."
"Wrong request.","Felaktig begäran."
"Deletion failure. Please try again.","Raderingen misslyckades. Vänligen försök igen."
"Stored Payment Method was successfully removed","Sparad betalningsmetod har tagits bort"
"Stored Payment Methods","Lagrade betalningsmetoder"
"No payment tokens are available for the specified order payment.","No payment tokens are available for the specified order payment."
"Card Number","Kortnummer"
"Expiration Date","Utgångsdatum"
"Type","Typ"
"You have no stored payment methods.","Du har inga sparade betalningsmetoder."
"ending","slutar"
"Actions","Åtgärder"
"Delete","Ta bort"
"Are you sure you want to delete this card: %1?","Are you sure you want to delete this card: %1?"
"PayPal Account","PayPal-konto"
"expires","expires"
"Place Order","Place Order"
"Cancel","Avbryt"
