"Search All Products","Pesquisar Todos os Produtos"
"Add Product by SKU","Add Product by SKU"
"Position","Posição"
"Action","Ação"
"Unassign","Remover atribuição"
"Top","Topo"
"Bottom","Bottom"
"Choose a selection...","Selecione uma opção..."
"Page not found.","Página não encontrada."
"No SKU entered","No SKU entered"
"Undefined Action","Acção Indefinida"
"Products with the following SKUs do not exist: %s","Products with the following SKUs do not exist: %s"
"%s SKU(s) processed successfully","%s SKU(s) processed successfully"
"On Top","On Top"
"On Bottom","On Bottom"
"Category rules validation failed","Category rules validation failed"
"Clone category ID(s)","Clonar Id(s). de categoria"
"Date Created (days ago)","Date Created (days ago)"
"Date Modified (days ago)","Data Modificada (dias atrás)"
"Error in reading category rules","Erro na leitura de regras de categoria"
"There was no category rules to apply","There was no category rules to apply"
"Category rules applied","Category rules applied"
"Equal","Equal"
"Not equal","Não é igual a"
"Greater than","Maior que"
"Greater than or equal to","Maior que ou igual a"
"Less than","Menor que"
"Less than or equal to","Menor que ou igual a"
"Contains","Contains"
"Error in yes/no format","Erro no formato de Sim/não"
"Category ID '%1' not found","ID de categoria '%1' não encontrado"
"%1 doesn't implement SortInterface","%1 não implementa SortInterface"
"Move low stock to top","Move low stock to top"
"Name: A - Z","Nome: A-Z"
"Name: Z - A","Nome: Z - A"
"Newest products first","Newest products first"
"Move out of stock to bottom","Move out of stock to bottom"
"Price: High to low","Preço: Maior para menor"
"Price: Low to high","Preço: Menor para maior"
"SKU: Ascending","SKU: Ascending"
"SKU: Descending","SKU: Descending"
"Sort by color","Ordenar por cor"
"Special price to bottom","Special price to bottom"
"Special price to top","Special price to top"
"None","Nenhum"
"Enter SKUs below, one per line","Enter SKUs below, one per line"
"Assign","Atribuir"
"Remove","Eliminar"
"Grid","Grelha"
"Tile","Azulejo"
"records found","registos encontrados"
"per page","por página"
"Previous page","Página anterior"
"of %1","de %1"
"Next page","Próxima página"
"Draggable","Arrastável"
"Close","Fechar"
"Product image","Product image"
"You can create a rule only to the existing categories.","You can create a rule only to the existing categories."
"Only products matched by rule will be present in the category after save. Unmatched products and manual sorting will be removed from the category.","Only products matched by rule will be present in the category after save. Unmatched products and manual sorting will be removed from the category."
"Attribute","Attribute"
"Operator","Operator"
"Value","Valor"
"Logic","Logic"
"Add Condition","Add Condition"
"Delete","Eliminar"
"Match products by rule","Match products by rule"
"Yes","Sim"
"No","Não"
"Add Products","Adicionar produtos"
"Save and Close","Save and Close"
"On","Ligado"
"Off","Desligado"
"Visual Merchandiser Options","Visual Merchandiser Options"
"Visual Merchandiser","Visual Merchandiser"
"General Options","Opções Gerais"
"Visible Attributes for Category Rules","Visible Attributes for Category Rules"
"Additional attributes usable in category rules","Additional attributes usable in category rules"
"Minimum Stock Threshold","Minimum Stock Threshold"
"Determines which products are 'low stock'","Determines which products are 'low stock'"
"Color Attribute Code","Color Attribute Code"
"Color Order","Color Order"
"Each color being on a separate row.","Each color being on a separate row."
"Sort","Sort"
"Automatic Sorting","Automatic Sorting"
"Sort order","Sort order"
"Thumbnail","Imagem Miniatura"
"Name","Nome"
"Price","Preço"
"SKU","REF"
"Stock","Stock"
"Category Products","Category Products"
"Wait loading...","Wait loading..."
"Rule %1 does not exists","Rule %1 does not exists"
