"Search All Products","Търсене на всички продукти"
"Add Product by SKU","Добави продукт по кат. номер"
"Position","Позиция"
"Action","Действие"
"Unassign","Отмени присвояването"
"Top","Отгоре"
"Bottom","Отдолу"
"Choose a selection...","Изберете селекция..."
"Page not found.","Страницата не е намерена."
"No SKU entered","Няма въведени кат. номера"
"Undefined Action","Неопределено действие"
"Products with the following SKUs do not exist: %s","Продукти със следните кат. номера не съществуват: %s"
"%s SKU(s) processed successfully","%sКат. номера обработени успешно"
"On Top","Най-отгоре"
"On Bottom","Най-отдолу"
"Category rules validation failed","Неуспешна проверка за правила в категорията"
"Clone category ID(s)","Клонинг категория идентификатори"
"Date Created (days ago)","Дата създаден (дни)"
"Date Modified (days ago)","Дата на промяна (дни)"
"Error in reading category rules","Грешка при четене на правила на категория"
"There was no category rules to apply","Няма правила за категория, което да се приложи"
"Category rules applied","Категория правила, прилагани"
"Equal","Равен"
"Not equal","Не е равен"
"Greater than","По-голям от"
"Greater than or equal to","По-голямо или равно на"
"Less than","По-малко от"
"Less than or equal to","По-малко или равно на"
"Contains","Съдържа"
"Error in yes/no format","Грешка във формат да/не"
"Category ID '%1' not found","ИД категория ""%1"" не е намерен"
"%1 doesn't implement SortInterface","%1 не изпълняват SortInterface"
"Move low stock to top","Премести малките наличности 
към началото"
"Name: A - Z","Име: A - Z"
"Name: Z - A","Име: Z - A"
"Newest products first","Най-новите продукти първи"
"Move out of stock to bottom","Преместване от склад отдолу"
"Price: High to low","Цена: Висока към ниска"
"Price: Low to high","Цена: Ниска към висока"
"SKU: Ascending","Кат. номер: възходящо"
"SKU: Descending","Кат. номер: низходящ"
"Sort by color","Сортиране по цвят"
"Special price to bottom","Специална цена до дъното"
"Special price to top","Специална цена до горе"
"None","Никакъв"
"Enter SKUs below, one per line","Въведете по-долу кат. номер, по един на ред"
"Assign","Определи"
"Remove","Премахване"
"Grid","Решетка"
"Tile","Разтегли"
"records found","намерени записи"
"per page","на страница"
"Previous page","Предишна страница"
"of %1","от %1"
"Next page","Следваща страница"
"Draggable","Разтеглив"
"Close","Затвори"
"Product image","Снимка на продукта"
"You can create a rule only to the existing categories.","Можете да създадете правило само към съществуващите категории."
"Only products matched by rule will be present in the category after save. Unmatched products and manual sorting will be removed from the category.","Само продукти, съпроводени от правило ще бъдат в категория след записа. Несравними продукти и ръчно сортиране ще бъдат премахнати от категорията."
"Attribute","Атрибут"
"Operator","Оператор"
"Value","Стойност"
"Logic","Логика"
"Add Condition","Добавяне на условие"
"Delete","Изтрий"
"Match products by rule","Съвпадение на продукти по правило"
"Yes","Да"
"No","Не"
"Add Products","Добавяне на продукти"
"Save and Close","Запиши и затвори"
"On","Включен"
"Off","Изключен"
"Visual Merchandiser Options","Опции за визуален мърчъндайзер"
"Visual Merchandiser","Визуален мърчъндайзер"
"General Options","Основни параметри"
"Visible Attributes for Category Rules","Видими атрибути за категория правила"
"Additional attributes usable in category rules","Допълнителни атрибути използваеми в категория правила"
"Minimum Stock Threshold","Минимален праг на склад"
"Determines which products are 'low stock'","Определя кои продукти са ""нисък запас"""
"Color Attribute Code","Цветен атрибут код"
"Color Order","Цвят ред"
"Each color being on a separate row.","Всеки цвят е на отделен ред."
"Sort","Сортиране"
"Automatic Sorting","Автоматично сортиране"
"Sort order","Ред на сортиране"
"Thumbnail","Миниатюра"
"Name","Име"
"Price","Цена"
"SKU","Кат. номер"
"Stock","Наличност"
"Category Products","Category Products"
"Wait loading...","Изчакайте зареждане..."
"Rule %1 does not exists","Правило %1 не съществува"
