"Read Details","Подробнее"
"Mark as Read","Пометить как прочитанное"
"Are you sure?","Вы уверены?"
"Remove","Удалить"
"Messages Inbox","Входящие сообщения"
"You have %1 new system messages","У вас есть новые системные сообщения %1"
"You have %1 new system message","У вас есть %1 новое системное сообщение"
"Incoming Message","Входящее сообщение"
"close","закрыть"
"Notifications","Уведомления"
"The message has been marked as Read.","Сообщение было помечено как прочитанное."
"We couldn't mark the notification as Read because of an error.","Мы не можем пометить уведомление как прочитанное из-за ошибки."
"Please select messages.","Пожалуйста, выберите сообщения."
"A total of %1 record(s) have been marked as Read.","%1 записи(ей) было помечено как прочитанные."
"Total of %1 record(s) have been removed.","%1 запись(и) была(и) удалены."
"We couldn't remove the messages because of an error.","Мы не cмогли удалить сообщения из-за ошибки."
"The message has been removed.","Сообщение было удалено."
"1 Hour","1 час"
"2 Hours","2 часа"
"6 Hours","6 часов"
"12 Hours","12 часов"
"24 Hours","24 часа"
"critical","критично"
"major","важно"
"minor","обычно"
"notice","уведомление"
"Wrong message type","Неправильный тип сообщения"
"Wrong notification ID specified.","Указан неправильный идентификатор уведомления."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} не рекомендуется использовать в производственной среде для объявления небезопасного Base URL / Base Secure URL. Настоятельно рекомендуется изменить это значение в вашем Magento <a href=""%1""> конфигурации</a>."
"One or more of the Cache Types are invalidated: %1. ","Один или несколько типов кэша признаны недействительными: %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Пожалуйста, перейдите на <a href=""%1"">Управление кэшем</a> и обновите типы кэша."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Нам не удалось синхронизировать один или несколько медиа-файлов. Пожалуйста, обратитесь к log файлу для подробной информации."
"Synchronization of media storages has been completed.","Синхронизация медиа хранилищ была завершена."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Ваш веб-сервер настроен неправильно и разрешает несанкционированный доступ к важным файлам. Пожалуйста, свяжитесь с хостинг-провайдером."
"System Messages:","Системные сообщения:"
"Critical System Messages","Критичные системные сообщения"
"Major System Messages","Основные системные сообщения"
"System messages","Системные сообщения"
"Close","Закрыть"
"See All (","Просмотреть все ("
" unread)"," непрочитанные)"
"Show Toolbar","Показать панель инструментов"
"Show List","Показать список"
"Use HTTPS to Get Feed","Использовать HTTPS для Feed-потока"
"Update Frequency","Частота обновления"
"Last Update","Последнее обновление"
"Severity","Серьезность"
"Date Added","Добавлено"
"Message","Сообщение"
"Actions","Действия"
"Close popup","Закрыть всплывающее окно"
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","Вы просмотрели и разрешили все последние уведомления. Обновите страницу для очистки уведомления."
