"Read Details","查看详情"
"Mark as Read","标记为已读"
"Are you sure?","您确定吗？"
"Remove","删除"
"Messages Inbox","消息收件箱"
"You have %1 new system messages","你有 %1 新系统消息"
"You have %1 new system message","你有 %1 新系统消息"
"Incoming Message","收到消息"
"close","关闭"
"Notifications","通知消息"
"The message has been marked as Read.","邮件已标记为已读。"
"We couldn't mark the notification as Read because of an error.","由于发生错误，我们不能将通知标记为读。"
"Please select messages.","请选择消息。"
"A total of %1 record(s) have been marked as Read.","共有 %1 条记录已标记为已读。"
"Total of %1 record(s) have been removed.","共有 %1 条记录已被删除。"
"We couldn't remove the messages because of an error.","由于发生错误，我们不能删除的消息。"
"The message has been removed.","该消息已被删除。"
"1 Hour","1 小时"
"2 Hours","2 个小时"
"6 Hours","6 个小时"
"12 Hours","12 个小时"
"24 Hours","24 小时"
"critical","紧急"
"major","主要"
"minor","次要"
"notice","通知"
"Wrong message type","错误消息类型"
"Wrong notification ID specified.","指定的错误通知 ID。"
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} 不建议在生产环境中使用申报不安全的基本URL / 安全的基本URL。我们强烈建议在您的 Magento
 里更改此值 <a href=""%1""> 配置</a>。"
"One or more of the Cache Types are invalidated: %1. ","一个或多个缓存类型将失效：%1。 "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","请跳转至 <a href=""%1"">缓存管理</a> 并刷新缓存类型。"
"We were unable to synchronize one or more media files. Please refer to the log file for details.","我们未能同步一个或多个媒体文件，请参阅日志文件中的详细信息。"
"Synchronization of media storages has been completed.","媒体库同步已完成。"
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","您的 web 服务器设置错误，允许对敏感文件进行未经授权的访问，请与您的主机供应商联系。"
"System Messages:","系统消息："
"Critical System Messages","紧急系统消息"
"Major System Messages","主要系统消息"
"System messages","系统消息"
"Close","关闭"
"See All (","查看所有 ("
" unread)","未读)"
"Show Toolbar","显示工具栏"
"Show List","显示列表"
"Use HTTPS to Get Feed","使用 HTTPS 来得到订阅源"
"Update Frequency","更新频率"
"Last Update","最近更新"
"Severity","严重程度"
"Date Added","日期已添加"
"Message","信息"
"Actions","动作"
"Close popup","Close popup"
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","您已经查看并解决了所有最近的系统通知。请刷新网页以清除通知警报。"
