"Read Details","Læs detaljer"
"Mark as Read","Marker som læst"
"Are you sure?","Er du sikker?"
"Remove","Fjern"
"Messages Inbox","Indbakke"
"You have %1 new system messages","Du har %1 nye systembeskeder"
"You have %1 new system message","Du har %1 ny systembesked"
"Incoming Message","Beskeder"
"close","luk"
"Notifications","Meddelelser"
"The message has been marked as Read.","Meddelelsen er markeret som læst."
"We couldn't mark the notification as Read because of an error.","Vi kunne ikke markerer beskeden som læst."
"Please select messages.","Vælg beskeder."
"A total of %1 record(s) have been marked as Read.","%1 besked(er) er nu markeret som læst."
"Total of %1 record(s) have been removed.","%1 besked(er) er blevet slettet."
"We couldn't remove the messages because of an error.","Vi kunne ikke slette bedskederne på grund af en fejl."
"The message has been removed.","Beskeden er blevet slettet."
"1 Hour","1 time"
"2 Hours","2 timer"
"6 Hours","6 timer"
"12 Hours","12 timer"
"24 Hours","24 timer"
"critical","kritisk"
"major","alvorlig"
"minor","mindre"
"notice","info"
"Wrong message type","Forkert beskedtype"
"Wrong notification ID specified.","Forkert besked ID angivet."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","Vi anbefaler ikke at bruge {{base_url}} i et produktionsmiljø. Du kan ændre denne værdi i din Magento <a href=""%1"">konfiguration</a>."
"One or more of the Cache Types are invalidated: %1. ","En eller flere cachetyper er forældede: %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Klik her for at gå til<a href=""%1""> Cachestyring</a> og forny cachen."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Vi var ikke i stand til at synkronisere en eller flere mediefiler. Se venligst detaljer i logfilen."
"Synchronization of media storages has been completed.","Synkronisering af mediebiblioteket er fuldført."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Webserveren er konfigureret forkert og giver uautoriseret adgang til følsomme filer. Kontakt din hosting udbyder."
"System Messages:","Systembeskeder:"
"Critical System Messages","Kritiske systembeskeder"
"Major System Messages","Alvorlige systembeskeder"
"System messages","Systembeskeder"
"Close","Luk"
"See All (","Vis alle ("
" unread)"," ulæst)"
"Show Toolbar","Vis værktøjslinje"
"Show List","Vis liste"
"Use HTTPS to Get Feed","Brug HTTPS for at hente et feed"
"Update Frequency","Opdater frekvens"
"Last Update","Sidst opdateret"
"Severity","Alvorlighed"
"Date Added","Dato tilføjet"
"Message","Besked"
"Actions","Handlinger"
"Close popup","Close popup"
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","Du har set og løst alle de seneste system notifikationer. Opdater venligst webside for at rydde notifikation advarselen."
