"Read Details","Baca Detail"
"Mark as Read","Tandai telah dibaca"
"Are you sure?","Apakah Anda Yakin?"
"Remove","Menghapus"
"Messages Inbox","Kotak Masuk Pesan"
"You have %1 new system messages","Anda memiliki %1 pesan sistem baru"
"You have %1 new system message","Anda memiliki %1 pesan sistem baru"
"Incoming Message","Pesan Masuk"
"close","keluar"
"Notifications","Pemberitahuan"
"The message has been marked as Read.","Tandai pesan telah dibaca."
"We couldn't mark the notification as Read because of an error.","Kami tidak bisa menandai pemberitahuan telah dibaca karena ada kesalahan."
"Please select messages.","Silahkan pilih pesan."
"A total of %1 record(s) have been marked as Read.","Sebanyak% 1 record telah ditandai sudah dibaca."
"Total of %1 record(s) have been removed.","Sebanyak% 1 record telah dihapus."
"We couldn't remove the messages because of an error.","Kami tidak bisa menghapus pesan karena ada kesalahan."
"The message has been removed.","Pesan telah dihapus."
"1 Hour","1 jam"
"2 Hours","2 jam"
"6 Hours","6 jam"
"12 Hours","12 jam"
"24 Hours","24 jam"
"critical","kritis"
"major","besar"
"minor","kecil"
"notice","perhatian"
"Wrong message type","Type pesan salah"
"Wrong notification ID specified.","Notifikasi ID yang ditentukan salah."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{Base_url}} tidak dianjurkan untuk digunakan dalam lingkungan produksi untuk menyatakan basis URL tidak aman/ basis URL aman. Kami sangat menyarankan mengubah nilai ini dalam Magento Anda <a href=""%1""> konfigurasi </a>."
"One or more of the Cache Types are invalidated: %1. ","Satu atau lebih dari Jenis cache yang valid:% 1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Silakan buka <a href=""%1""> Manajemen Cache </a> dan me-refresh type cache."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Kami tidak dapat menyinkronkan satu atau lebih file media. Silakan merujuk ke file log untuk rincian."
"Synchronization of media storages has been completed.","Sinkronisasi media penyimpanan telah selesai."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Setup server web anda tidak benar dan memungkinkan akses tidak sah ke file sensitif. Silakan hubungi penyedia hosting anda."
"System Messages:","Pesan Sistem:"
"Critical System Messages","Pesan Sistem Kritis"
"Major System Messages","Pesan Sistem Besar"
"System messages","Pesan Sistem"
"Close","Tutup"
"See All (","Lihat semua ("
" unread)"," belum dibaca)"
"Show Toolbar","Tampilkan Toolbar"
"Show List","Tampilkan List"
"Use HTTPS to Get Feed","Gunakan HTTPS untuk ke Get Feed"
"Update Frequency","Pembaruan Frekuensi"
"Last Update","Pembaruan Terakhir"
"Severity","Kekerasan"
"Date Added","Tanggal Ditambahkan"
"Message","Pesan"
"Actions","Tindakan"
"Close popup","Close popup"
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert."
