"Wishlist","Önskelistan"
"Customer's Wish List Report","Kundens Önskelista Rapport"
"My Wish Lists","Mina Önskelistor"
"1 item in wish list","%1 artikel i önskelistan"
"%1 items in wish list","%1 artiklar i önskelistan"
"Wish List Search","Önskelista Sök"
"Select Search Type","Välj söktyp"
"Reports","Rapporter"
"Customers","Kunder"
"Customer Wish List Report","Rapport för kundens önskelista"
"Wish list ""%1"" was saved.","Önskelista ""%1"" sparades."
"We can't create the wish list right now.","We can't create the wish list right now."
"Page not found.","Sidan kunde inte hittas."
"""%1"" was copied to %2.","""%1"" har kopierats till %2."
"We can't find the item.","We can't find the item."
"""%1"" is already present in %2.","""%1"" finns redan i %2."
"We can't copy ""%1"".","Vi kan inte kopiera ""%1""."
"We can't copy the wish list item.","We can't copy the wish list item."
"We can't find %1 items.","We can't find %1 items."
"We can't copy %1 items.","We can't copy %1 items."
"%1 items are already present in %2: %3.","%1 objekt finns redan i %2: %3."
"%1 items were copied to %2: %3.","%1 objekt har kopierats till %2: %3."
"You can't delete the default wish list.","You can't delete the default wish list."
"Wish List ""%1"" has been deleted.","Wish List ""%1"" has been deleted."
"We can't delete the wish list right now.","We can't delete the wish list right now."
"""%1"" was moved to %2.","""%1"" was moved to %2."
"We can't find an item with this ID.","We can't find an item with this ID."
"We cannot move ""%1"".","We cannot move ""%1""."
"We can't move the wish list item.","We can't move the wish list item."
"%1 items cannot be moved: %2.","%1 items cannot be moved: %2."
"We can't move %1 items.","We can't move %1 items."
"%1 items were moved to %2: %3.","%1 items were moved to %2: %3."
"%1 for ""%2""","%1 för ""%2"""
"We can't add the item to shopping cart.","We can't add the item to shopping cart."
"We can't add the following product(s) to shopping cart: %1.","We can't add the following product(s) to shopping cart: %1."
"Product(s) %1 have required options. Each product can only be added individually.","Produkt(erna) %1 har tvingande alternativ. Varje produkt kan bara läggas till individuellt."
"%1 product(s) have been added to shopping cart: %2.","%1 product(s) have been added to shopping cart: %2."
"Please reenter your search options.","Please reenter your search options."
"We could not perform the search.","We could not perform the search."
"All Forms","All Forms"
"Owner Name","Owner Name"
"Owner Email","Owner Email"
"%1's Wish List","%1's önskelista"
"%1's Wish List (%2)","%1's Wish List (%2)"
"Please enter a valid email address.","Vänligen ange en giltig e-postadress."
"Please enter at least 2 letters of the first name.","Please enter at least 2 letters of the first name."
"Please enter at least 2 letters of the last name.","Please enter at least 2 letters of the last name."
"Sign in to edit wish lists.","Sign in to edit wish lists."
"The wish list is not assigned to your account and can't be edited.","The wish list is not assigned to your account and can't be edited."
"Provide the wish list name.","Provide the wish list name."
"Wish list ""%1"" already exists.","Wish list ""%1"" already exists."
"Only %1 wish list(s) can be created.","Only %1 wish list(s) can be created."
"Test Phrase","Test fras"
"Unknown Magento error","Unknown Magento error"
"InvalidArgumentException","InvalidArgumentException"
"Refresh","Ladda om"
"All Wish Lists","Alla önskelistor"
"Item","Artikel"
"Qty","Antal"
"Price","Pris"
"Remove","Ta bort"
"Add To Order","Lägg till i order"
"Configure and Add to Order","Konfigurera och lägg till i beställningen"
"No items","Inga artiklar"
"Delete Wish List","Delete Wish List"
"Owner","Owner"
"Name","Namn"
"Updated","Uppdaterad"
"Wish List Items","Wish List Items"
"You must select items to add to the cart.","You must select items to add to the cart."
"Add to Cart","Lägg till i kundvagn"
"Back","Tillbaka"
"Add to:","Add to:"
"Create New Wish List","Skapa ny önskelista"
"Move to Wish List","Flytta till i önskelistan"
"Copy to Wish List","Kopiera till önskelistan"
"Search Options","Search Options"
"Required Fields","Required Fields"
"First Name","Förnamn"
"Last Name","Efternamn"
"Search","Sök"
"Search Results","Search Results"
"Wish List Name","Wish List Name"
"Actions","Åtgärder"
"View","Visa"
"Your search returned no results.","Sökningen gav inget resultat."
"Wish List","Önskelista"
"Create Wish List","Create Wish List"
"Edit Wish List","Redigera önskelista"
"Edit","Redigera"
"Public Wish List","Public Wish List"
"Private Wish List","Private Wish List"
"Select all","Markera alla"
"Move Selected to Wish List","Flytta valda till önskelistan"
"Copy Selected to Wish List","Kopiera markerade till önskelistan"
"Search By","Search By"
"Please enter at least two letters.","Please enter at least two letters."
"Close","Stäng"
"Save","Spara"
"Cancel","Avbryt"
"We can't create the Wish List right now.","We can't create the Wish List right now."
"Please select items to move.","Please select items to move."
"Please select items to copy.","Please select items to copy."
"Are you sure you want to delete your wish list? This action can't be undone.","Are you sure you want to delete your wish list? This action can't be undone."
"Wish Lists","Wish Lists"
"Enable Multiple Wish Lists","Enable Multiple Wish Lists"
"Number of Multiple Wish Lists","Number of Multiple Wish Lists"
"The number of multiple wish lists should be equal to or more than 2.","The number of multiple wish lists should be equal to or more than 2."
"My Wish Lists Link","Min önskelistelänk"
"Display Wish Lists Summary","Display Wish Lists Summary"
"Wish List Search Description","Wish List Search Description"
"Quick Search Form Types","Quick Search Form Types"
"Template","Mall"
"Wish List Search Template","Wish List Search Template"
"CSV","CSV"
"Excel XML","Excel XML"
"Added","Tillagd"
"Customer","Kund"
"Status","Status"
"Public","Public"
"Private","Private"
"Product","Produkt"
"SKU","Art.nr"
"Comment","Kommentarer"
"Wish List Quantity","Wish List Quantity"
"Store Quantity","Store Quantity"
"Surplus / Deficit","Surplus / Deficit"
"All Websites","Alla webbplatser"
"Product Info","Product Info"
"Unit Price","Styckpris"
"Add to Wish List","Lägg till i önskelista"
"Could not create a wish list.","Could not create a wish list."
"The default wish list can't be deleted.","The default wish list can't be deleted."
"Edit wish list","Edit wish list"
