"Wishlist","قائمة الأمنيات"
"Customer's Wish List Report","قائمة تقرير امنيات العميل"
"My Wish Lists","قائمة الامنيات"
"1 item in wish list","عنصر واحد في قائمة الأمنيات"
"%1 items in wish list","%1 عنصر في قائمة الأمنيات"
"Wish List Search","بحث بقائمة الأمنيات"
"Select Search Type","حدد نوع البحث"
"Reports","تقارير"
"Customers","العملاء"
"Customer Wish List Report","قائمة تقرير امنيات العميل"
"Wish list ""%1"" was saved.","تم حفظ قائمة الأمنيات ""%1""."
"We can't create the wish list right now.","لا يمكننا إنشاء قائمة الرغبات الآن."
"Page not found.","لم يتم العثور على الصفحة."
"""%1"" was copied to %2.","""%1"" was copied to %2."
"We can't find the item.","لا يمكننا العثور على العنصر."
"""%1"" is already present in %2.","""%1"" موجود بالفعل في %2."
"We can't copy ""%1"".","لا يمكننا نسخ %1."
"We can't copy the wish list item.","لا يمكننا نسخ عنصر قائمة الأمنيات."
"We can't find %1 items.","لا يمكننا العثور على عناصر %1."
"We can't copy %1 items.","لا يمكننا نسخ العناصر %1."
"%1 items are already present in %2: %3.","%1 items are already present in %2: %3."
"%1 items were copied to %2: %3.","%1 items were copied to %2: %3."
"You can't delete the default wish list.","You can't delete the default wish list."
"Wish List ""%1"" has been deleted.","تم حذف قائمة الأمنيات ""%1""."
"We can't delete the wish list right now.","لا يمكننا حذف قائمة الأمنيات الآن."
"""%1"" was moved to %2.","""%1"" was moved to %2."
"We can't find an item with this ID.","تعذر العثور على عنصر بهذا المعرف."
"We cannot move ""%1"".","We cannot move ""%1""."
"We can't move the wish list item.","لا يمكننا نقل عنصر قائمة الأمنيات."
"%1 items cannot be moved: %2.","%1 items cannot be moved: %2."
"We can't move %1 items.","لا يمكننا نقل العناصر %1."
"%1 items were moved to %2: %3.","%1 items were moved to %2: %3."
"%1 for ""%2""","%1 for ""%2"""
"We can't add the item to shopping cart.","لا يمكنك إضافة هذا العنصر إلى سلة التسوق."
"We can't add the following product(s) to shopping cart: %1.","لا يمكنك إضافة المنتج(ات) التالي(ـة) إلى سلة التسوق: %1."
"Product(s) %1 have required options. Each product can only be added individually.","المنتج (المنتجات)%1 لها خيارات مطلوبة. كل منتج يمكن إضافته على حدة."
"%1 product(s) have been added to shopping cart: %2.","%1 منتج تم إضافتها إلى سلة التسوق: %2."
"Please reenter your search options.","Please reenter your search options."
"We could not perform the search.","We could not perform the search."
"All Forms","All Forms"
"Owner Name","Owner Name"
"Owner Email","Owner Email"
"%1's Wish List","قائمة الأمنيات %1 's"
"%1's Wish List (%2)","قائمة أمنيات %1 (%2)"
"Please enter a valid email address.","الرجاء ادخال عنوان بريد الكتروني صحيح."
"Please enter at least 2 letters of the first name.","Please enter at least 2 letters of the first name."
"Please enter at least 2 letters of the last name.","Please enter at least 2 letters of the last name."
"Sign in to edit wish lists.","Sign in to edit wish lists."
"The wish list is not assigned to your account and can't be edited.","قائمة الأمنيات لم يتم تعيينه للحساب الخاص بك ولا يمكن تعديلها."
"Provide the wish list name.","Provide the wish list name."
"Wish list ""%1"" already exists.","Wish list ""%1"" already exists."
"Only %1 wish list(s) can be created.","Only %1 wish list(s) can be created."
"Test Phrase","اختبار العبارة"
"Unknown Magento error","Unknown Magento error"
"InvalidArgumentException","InvalidArgumentException"
"Refresh","التحديث"
"All Wish Lists","All Wish Lists"
"Item","سلعة"
"Qty","الكميّة"
"Price","السعر"
"Remove","ازالة"
"Add To Order","إضافة إلى الطلب"
"Configure and Add to Order","Configure and Add to Order"
"No items","لا يوجد سلع"
"Delete Wish List","Delete Wish List"
"Owner","المالك"
"Name","اسم"
"Updated","محدث"
"Wish List Items","Wish List Items"
"You must select items to add to the cart.","You must select items to add to the cart."
"Add to Cart","أضف لسلة التسوق"
"Back","رجوع"
"Add to:","Add to:"
"Create New Wish List","إنشاء قائمة امنيات جديدة"
"Move to Wish List","الانتقال إلى قائمة الامنيات"
"Copy to Wish List","نسخ إلى قائمة الامنيات"
"Search Options","Search Options"
"Required Fields","حقول مطلوبة"
"First Name","الإسم الأول"
"Last Name","اسم العائلة"
"Search","بحث"
"Search Results","نتائج البحث"
"Wish List Name","Wish List Name"
"Actions","اعمال"
"View","عرض"
"Your search returned no results.","لا يوجد نتائج لبحثك."
"Wish List","قائمة الامنيات"
"Create Wish List","Create Wish List"
"Edit Wish List","Edit Wish List"
"Edit","تعديل"
"Public Wish List","Public Wish List"
"Private Wish List","Private Wish List"
"Select all","إختيار الكل"
