"Wishlist","Wunschzettel"
"Customer's Wish List Report","Kunden Wunschlisten-Bericht"
"My Wish Lists","Meine Wunschlisten"
"1 item in wish list","1 Artikel in der Wunschliste"
"%1 items in wish list","%1 Artikel in der Wunschliste"
"Wish List Search","Wunschlisten Suche"
"Select Search Type","Pflichtfelder"
"Reports","Berichte"
"Customers","Kunden"
"Customer Wish List Report","Kunden Wunschlisten-Bericht"
"Wish list ""%1"" was saved.","Wunschliste ""%1"" gespeichert."
"We can't create the wish list right now.","Wir können die Wunschliste momentan nicht erstellen."
"Page not found.","Seite nicht gefunden."
"""%1"" was copied to %2.","""%1"" wurde in %2 kopiert."
"We can't find the item.","Das Produkt konnte nicht gefunden werden."
"""%1"" is already present in %2.","""%1"" ist bereits in %2."
"We can't copy ""%1"".","""%1"" kann nicht kopiert werden."
"We can't copy the wish list item.","Wir konnten den Wunschliste-Artikel nicht kopieren."
"We can't find %1 items.","Wir konnten %1 Artikel nicht finden."
"We can't copy %1 items.","Wir konnten %1 Artikel nicht kopieren."
"%1 items are already present in %2: %3.","%1 Artikel sind bereits in %2: %3 vorhanden."
"%1 items were copied to %2: %3.","%1 Artikel wurde kopiert nach %2: %3."
"You can't delete the default wish list.","Wie konnten die Standard-Wunschliste nicht entfernen."
"Wish List ""%1"" has been deleted.","Wunschliste ""%1"" wurde gelöscht."
"We can't delete the wish list right now.","Wie konnten momentan die Wunschliste nicht entfernen."
"""%1"" was moved to %2.","""%1"" wurde nach %2 verschoben."
"We can't find an item with this ID.","Wir konnten den Artikel mit dieser ID nicht finden."
"We cannot move ""%1"".","""%1"" kann nicht verschoben werden."
"We can't move the wish list item.","Wir konnten den Wunschliste-Artikel nicht verschieben."
"%1 items cannot be moved: %2.","%1 Artikel können nicht verschoben werden: %2."
"We can't move %1 items.","Wir konnten %1 Artikel nicht verschieben."
"%1 items were moved to %2: %3.","%1 Artikel wurde verschoben nach %2: %3."
"%1 for ""%2""","%1 für ""%2"""
"We can't add the item to shopping cart.","Wir konnten den Artikel nicht zum Warenkorb hinzufügen."
"We can't add the following product(s) to shopping cart: %1.","Wir konnten folgende Artikel zum Warenkorb nicht hinzufügen: %1."
"Product(s) %1 have required options. Each product can only be added individually.","Produkt(e) %1 hat/haben Pflichtangaben. Jedes Produkt kann nur einzeln hinzugefügt werden."
"%1 product(s) have been added to shopping cart: %2.","%1 Produkt(e) wurden Ihrem Warenkorb hinzugefügt: %2."
"Please reenter your search options.","Bitte geben Sie Ihre Suchoptionen erneut ein."
"We could not perform the search.","Die Suche konnte nicht ausgeführt werden."
"All Forms","Alle Formulare"
"Owner Name","Name des Besitzers"
"Owner Email","E-Mail-Adresse des Besitzers"
"%1's Wish List","%1's Wunschliste"
"%1's Wish List (%2)","%1's Wunschliste (%2)"
"Please enter a valid email address.","Bitte geben Sie eine gültige E-Mail-Adresse an."
"Please enter at least 2 letters of the first name.","Bitte geben Sie mindestens 2 Buchstaben des Vornamens an."
"Please enter at least 2 letters of the last name.","Bitte geben Sie mindestens 2 Buchstaben des Nachnamens an."
"Sign in to edit wish lists.","Melden Sie sich an, um Wunschzettel zu bearbeiten."
"The wish list is not assigned to your account and can't be edited.","Die Wunschliste ist nicht auf Ihrem Konto zugeordnet und kann nicht bearbeitet werden."
"Provide the wish list name.","Geben Sie den Wunschlisten-Namen an."
"Wish list ""%1"" already exists.","Wunschliste ""%1"" existiert bereits."
"Only %1 wish list(s) can be created.","Es können nur %1 Wunschliste(n) erstellt werden."
"Test Phrase","Test-Satz"
"Unknown Magento error","Unbekannter Magento-Fehler"
"InvalidArgumentException","InvalidArgumentException"
"Refresh","Aktualisieren"
"All Wish Lists","Alle Wunschlisten"
"Item","Artikel"
"Qty","Menge"
"Price","Preis"
"Remove","Entfernen"
"Add To Order","Keine Artikel"
"Configure and Add to Order","Konfigurieren und zur Bestellung hinzufügen"
"No items","Keine Elemente"
"Delete Wish List","Wunschliste löschen"
"Owner","Besitzer"
"Name","Name"
"Updated","Aktualisiert"
"Wish List Items","Wunschlisten-Artikel"
"You must select items to add to the cart.","Sie müssen Artikel auswählen, um sie zum Warenkorb hinzuzufügen."
"Add to Cart","In den Warenkorb"
"Back","Zurück"
"Add to:","Hinzufügen zu:"
"Create New Wish List","Neue Wunschliste erstellen"
"Move to Wish List","Auf die Wunschliste verschieben"
"Copy to Wish List","Auf Wunschliste kopieren"
"Search Options","Suchoptionen"
"Required Fields","Pflichtfelder"
"First Name","Vorname"
"Last Name","Nachname"
"Search","Suche"
"Search Results","Suchergebnisse"
"Wish List Name","Name der Wunschliste"
"Actions","Aktionen"
"View","Anzeigen"
"Your search returned no results.","Ihre Suche ergab keine Treffer."
"Wish List","Wunschliste"
"Create Wish List","Wunschliste erstellen"
"Edit Wish List","Wunschliste bearbeiten"
"Edit","Bearbeiten"
"Public Wish List","Öffentliche Wunschliste"
"Private Wish List","Private Wunschliste"
"Select all","Alle auswählen"
"Move Selected to Wish List","Auswahl auf die Wunschliste verschieben"
"Copy Selected to Wish List","Auswahl in die Wunschliste kopieren"
"Search By","Suche nach"
"Please enter at least two letters.","Bitte geben Sie mindestens zwei Buchstaben ein."
"Close","Schließen"
"Save","Speichern"
"Cancel","Stornieren"
"We can't create the Wish List right now.","Wir können die Wunschliste gerade nicht erstellen."
"Please select items to move.","Bitte wählen Sie die zu verschiebenden Elemente."
"Please select items to copy.","Bitte wählen Sie die zu kopierenden Elemente."
"Are you sure you want to delete your wish list? This action can't be undone.","Sind Sie sicher, dass Sie Ihre Wunschliste löschen möchten? Diese Aktion kann nicht rückgängig gemacht werden."
"Wish Lists","Wunschlisten"
"Enable Multiple Wish Lists","Mehrere Wunschlisten aktivieren"
"Number of Multiple Wish Lists","Anzahl mehrerer Wunschlisten"
"The number of multiple wish lists should be equal to or more than 2.","Die Nummer von mehreren Wunschlisten sollte größer oder gleich 2 sein."
"My Wish Lists Link","Link zu Meine Wunschzettel"
"Display Wish Lists Summary","Wunschzettelübersicht anzeigen"
"Wish List Search Description","Wunschlisten Suche Beschreibung"
"Quick Search Form Types","Formulartypen der schnellen Suche"
"Template","Vorlage"
"Wish List Search Template","Wunschlisten Suche Vorlage"
"CSV","CSV"
"Excel XML","Excel XML"
"Added","Hinzugefügt"
"Customer","Kunde"
"Status","Status"
"Public","Öffentlich"
"Private","Privat"
"Product","Produkt"
"SKU","Artikelnummer"
"Comment","Kommentar"
"Wish List Quantity","Wunschlisten Anzahl"
"Store Quantity","Shop Menge"
"Surplus / Deficit","Überschuss / Rückstand"
"All Websites","Alle Webseiten"
"Product Info","Produktinformationen"
"Unit Price","Einzelpreis"
"Add to Wish List","Zur Wunschliste hinzufügen"
"Could not create a wish list.","Eine Wunschliste konnte nicht erstellt werden."
"The default wish list can't be deleted.","Die Standard-Wunschliste kann nicht gelöscht werden."
"Edit wish list","Wunschliste bearbeiten"
