"Wishlist","מועדפים"
"Customer's Wish List Report","דו""ח המועדפים של הלקוח"
"My Wish Lists","כל ה-wishlist שלי"
"1 item in wish list","פריט אחד במועדפים"
"%1 items in wish list","%1 פריטים במועדפים"
"Wish List Search","חיפוש ב-Wish List"
"Select Search Type","בחר את סוג החיפוש"
"Reports","דו""חות"
"Customers","לקוחות"
"Customer Wish List Report","דו""ח רשימת משאלות לקוח"
"Wish list ""%1"" was saved.","רשימת מועדפים ""%1"" נשמרה."
"We can't create the wish list right now.","לא ניתן ליצור את רשימת המועדפים כעת."
"Page not found.","העמוד לא נמצא."
"""%1"" was copied to %2.","""%1"" הועתק אל %2."
"We can't find the item.","איננו מסוגלים למצוא את הפריט."
"""%1"" is already present in %2.","""%1"" is already present in %2."
"We can't copy ""%1"".","לא ניתן להעתיק ""%1""."
"We can't copy the wish list item.","אנחנו לא ניתן להעתיק את הפריט ל-wishlist."
"We can't find %1 items.","איננו מסוגלים למצוא פריטים %1."
"We can't copy %1 items.","איננו יכולים להעתיק %1 פריטים."
"%1 items are already present in %2: %3.","%1 פריטים נמצאים כבר ב- %2: %3."
"%1 items were copied to %2: %3.","%1 items were copied to %2: %3."
"You can't delete the default wish list.","You can't delete the default wish list."
"Wish List ""%1"" has been deleted.","רשימת המועדפים ""%1"" נמחקה."
"We can't delete the wish list right now.","איננו יכולים למחוק את המועדפים כעת."
"""%1"" was moved to %2.","""%1"" was moved to %2."
"We can't find an item with this ID.","איננו יכולים למצוא פריט עם המספר המזהה של הפריט הזה."
"We cannot move ""%1"".","לא ניתן להעביר ""%1""."
"We can't move the wish list item.","איננו יכולים להעתיק את הפריט למועדפים."
"%1 items cannot be moved: %2.","%1 items cannot be moved: %2."
"We can't move %1 items.","איננו יכולים להעביר %1 פריטים."
"%1 items were moved to %2: %3.","%1 items were moved to %2: %3."
"%1 for ""%2""","%1 for ""%2"""
"We can't add the item to shopping cart.","אינך יכול להוסיף את הפריט לסל הקניות."
"We can't add the following product(s) to shopping cart: %1.","איננו יכולים להוסיף מוצר/ים שבחרתם לעגלת הקניות: %1."
"Product(s) %1 have required options. Each product can only be added individually.","למוצרים %1 יש את האפשרויות הנדרשות. ניתן להוסיף כל מוצר בנפרד בלבד."
"%1 product(s) have been added to shopping cart: %2.","%1 מוצרים נוספו לסל הקניות: %2."
"Please reenter your search options.","Please reenter your search options."
"We could not perform the search.","We could not perform the search."
"All Forms","כל הטפסים"
"Owner Name","Owner Name"
"Owner Email","Owner Email"
"%1's Wish List","ה-wishlist של %1"
"%1's Wish List (%2)","%1's Wish List (%2)"
"Please enter a valid email address.","נא להזין כתובת אימייל תקינה."
"Please enter at least 2 letters of the first name.","Please enter at least 2 letters of the first name."
"Please enter at least 2 letters of the last name.","Please enter at least 2 letters of the last name."
"Sign in to edit wish lists.","Sign in to edit wish lists."
"The wish list is not assigned to your account and can't be edited.","רשימת המועדפים אינה נשמרת בחשבון שלך ואינה ניתנת לעריכה."
"Provide the wish list name.","יש לספק את שם רשימת המועדפים."
"Wish list ""%1"" already exists.","Wish list ""%1"" already exists."
"Only %1 wish list(s) can be created.","Only %1 wish list(s) can be created."
"Test Phrase","בחן ביטוי"
"Unknown Magento error","שגיאת מג'נטו לא ידועה"
"InvalidArgumentException","InvalidArgumentException"
"Refresh","רענן"
"All Wish Lists","All Wish Lists"
"Item","פריט"
"Qty","כמות"
"Price","מחיר"
"Remove","הסר"
"Add To Order","Add To Order"
"Configure and Add to Order","Configure and Add to Order"
"No items","אין פריטים"
"Delete Wish List","מחיקת המועדפים"
"Owner","בעלים"
"Name","שם"
"Updated","עודכן"
"Wish List Items","Wish List Items"
"You must select items to add to the cart.","You must select items to add to the cart."
"Add to Cart","הוסף לסל"
"Back","חזור"
"Add to:","Add to:"
"Create New Wish List","צור רשימת מועדפים חדשה"
"Move to Wish List","העברה למועדפים"
"Copy to Wish List","העתקה למועדפים"
"Search Options","אפשרויות חיפוש"
"Required Fields","שדות חובה"
"First Name","שם פרטי"
"Last Name","שם משפחה"
"Search","חפש"
"Search Results","תוצאות חיפוש"
"Wish List Name","Wish List Name"
"Actions","פעולות"
"View","הצגה"
"Your search returned no results.","אין תוצאות לשאילתת חיפוש שלך."
"Wish List","Wishlist"
"Create Wish List","Create Wish List"
"Edit Wish List","Edit Wish List"
"Edit","ערוך"
"Public Wish List","Public Wish List"
"Private Wish List","Private Wish List"
"Select all","בחר הכל"
"Move Selected to Wish List","העבר פריטים נבחרים למועדפים"
"Copy Selected to Wish List","העתק פריטים נבחרים למועדפים"
"Search By","חיפוש לפי"
"Please enter at least two letters.","Please enter at least two letters."
"Close","סגור"
"Save","שמור"
"Cancel","ביטול"
"We can't create the Wish List right now.","לא ניתן ליצור את רשימת המועדפים כעת."
"Please select items to move.","Please select items to move."
"Please select items to copy.","Please select items to copy."
"Are you sure you want to delete your wish list? This action can't be undone.","האם אתה בטוח שברצונך למחוק את המועדפים שלך? פעולה זו לא ניתנת לשחזור."
"Wish Lists","רשימות מועדפים"
"Enable Multiple Wish Lists","Enable Multiple Wish Lists"
"Number of Multiple Wish Lists","Number of Multiple Wish Lists"
"The number of multiple wish lists should be equal to or more than 2.","The number of multiple wish lists should be equal to or more than 2."
"My Wish Lists Link","קישור לרשימת הבקשות שלי"
"Display Wish Lists Summary","Display Wish Lists Summary"
"Wish List Search Description","Wish List Search Description"
"Quick Search Form Types","Quick Search Form Types"
"Template","תבנית"
"Wish List Search Template","Wish List Search Template"
"CSV","CSV"
"Excel XML","Excel XML"
"Added","הוסף"
"Customer","לקוח"
"Status","סטטוס"
"Public","ציבורי"
"Private","פרטי"
"Product","מוצר"
"SKU","מק''ט"
"Comment","הערה"
"Wish List Quantity","Wish List Quantity"
"Store Quantity","Store Quantity"
"Surplus / Deficit","Surplus / Deficit"
"All Websites","כל האתרים"
"Product Info","Product Info"
"Unit Price","מחיר יחידה"
"Add to Wish List","הוספה למועדפים"
"Could not create a wish list.","Could not create a wish list."
"The default wish list can't be deleted.","The default wish list can't be deleted."
"Edit wish list","Edit wish list"
