"Wishlist","欲しいものリスト"
"Customer's Wish List Report","顧客のほしい物リストレポート"
"My Wish Lists","マイほしい物リスト"
"1 item in wish list","ほしい物リストの1アイテム"
"%1 items in wish list","ほしい物リストの%1アイテム"
"Wish List Search","ほしい物リストの検索"
"Select Search Type","検索種別を選択"
"Reports","レポート"
"Customers","顧客"
"Customer Wish List Report","顧客ほしい物リストレポート"
"Wish list ""%1"" was saved.","ほしい物リスト  ""%1"" が保存されました。"
"We can't create the wish list right now.","今はほしい物リストを作成できません。"
"Page not found.","ページが見つかりません。"
"""%1"" was copied to %2.","""%1""は%2にコピーされました。"
"We can't find the item.","この商品がみつかりません。"
"""%1"" is already present in %2.","""%1""は既に%2にあります。"
"We can't copy ""%1"".","""%1"" をコピーできません。"
"We can't copy the wish list item.","ほしい物リストアイテムはコピーできません。"
"We can't find %1 items.","%1 アイテムは見つかりません。"
"We can't copy %1 items.","%1 アイテムはコピーできません。"
"%1 items are already present in %2: %3.","%1のアイテムはすでに%2：%3にあります。"
"%1 items were copied to %2: %3.","%1個のアイテムが%2：%3にコピーされました。"
"You can't delete the default wish list.","You can't delete the default wish list."
"Wish List ""%1"" has been deleted.","ほしい物リスト ""%1"" が削除されました。"
"We can't delete the wish list right now.","今すぐほしい物リストを削除することはできません。"
"""%1"" was moved to %2.","""%1""を%2に移動しました。"
"We can't find an item with this ID.","このIDの商品は見つかりません。"
"We cannot move ""%1"".","""%1"" を移動することはできません。"
"We can't move the wish list item.","ほしい物リストアイテムは移動できません。"
"%1 items cannot be moved: %2.","%1 アイテムは移動できません: %2."
"We can't move %1 items.","%1 アイテムは移動できません。"
"%1 items were moved to %2: %3.","%1個のアイテムが%2：%3に移動されました。"
"%1 for ""%2""","""%2""のための%1"
"We can't add the item to shopping cart.","ショッピングカートに商品を追加することはできません。"
"We can't add the following product(s) to shopping cart: %1.","次の商品をショッピングカートに追加することはできません： %1。"
"Product(s) %1 have required options. Each product can only be added individually.","製品 %1 にはオプションが必要です。 各製品は個別にのみ追加することができます。"
"%1 product(s) have been added to shopping cart: %2.","%1 個のアイテムがショッピングカートに追加されました: %2."
"Please reenter your search options.","検索オプションを再入力してください。"
"We could not perform the search.","検索を実行できませんでした。"
"All Forms","すべてのフォーム"
"Owner Name","オーナーの名前"
"Owner Email","オーナーのメール"
"%1's Wish List","%1 のほしい物リスト"
"%1's Wish List (%2)","%1さんのほしい物リスト(%2)"
"Please enter a valid email address.","正しいメールアドレスを入力してください。"
"Please enter at least 2 letters of the first name.","名の最初の2文字を入力してください。"
"Please enter at least 2 letters of the last name.","姓の最初の2文字を入力してください。"
"Sign in to edit wish lists.","ほしい物リストを編集するにはログインしてください。"
"The wish list is not assigned to your account and can't be edited.","ほしい物リストはあなたのアカウントに割り当てられておらず、編集できません。"
"Provide the wish list name.","ほしい物リスト名を指定します。"
"Wish list ""%1"" already exists.","ほしい物リスト ""%1"" は既に存在します。"
"Only %1 wish list(s) can be created.","%1 のほしい物リストのみ作成できます。"
"Test Phrase","テストフェーズ"
"Unknown Magento error","不明なMagentoエラー"
"InvalidArgumentException","InvalidArgumentException"
"Refresh","更新"
"All Wish Lists","すべてのほしい物リスト"
"Item","商品"
"Qty","個数"
"Price","価格"
"Remove","削除"
"Add To Order","ご注文にくわえる"
"Configure and Add to Order","オプションを選択して追加する"
"No items","商品なし"
"Delete Wish List","ほしい物リストを削除"
"Owner","所有者"
"Name","名前"
"Updated","更新"
"Wish List Items","ほしい物リストアイテム"
"You must select items to add to the cart.","カートに追加するアイテムを選択する必要があります。"
"Add to Cart","カートに入れる"
"Back","戻る"
"Add to:","追加:"
"Create New Wish List","新しいほしい物リストを作成する"
"Move to Wish List","お気に入りに移動"
"Copy to Wish List","ほしい物リストにコピー"
"Search Options","検索オプション"
"Required Fields","必須フィールド"
"First Name","名"
"Last Name","姓"
"Search","検索"
"Search Results","検索結果"
"Wish List Name","ほしい物リスト名"
"Actions","アクション"
"View","表示"
"Your search returned no results.","検索に一致する商品はありませんでした。"
"Wish List","ほしい物リスト"
"Create Wish List","ほしい物リストを作成"
"Edit Wish List","ほしい物リストを編集"
"Edit","編集"
"Public Wish List","公開ほしい物リスト"
"Private Wish List","プライベートほしい物リスト"
"Select all","全て選択"
"Move Selected to Wish List","ほしい物リストに移動"
"Copy Selected to Wish List","ほしい物リストに選択コピー"
"Search By","検索条件"
"Please enter at least two letters.","少なくとも2文字を入力してください。"
"Close","閉じる"
"Save","保存"
"Cancel","キャンセル"
"We can't create the Wish List right now.","現在ウィッシュリストを作成できません。"
"Please select items to move.","移動するアイテムを選択してください。"
"Please select items to copy.","コピーするアイテムを選択してください。"
"Are you sure you want to delete your wish list? This action can't be undone.","ほしい物リストを削除してもよろしいですか？この操作は元に戻すことはできません。"
"Wish Lists","ほしい物リスト"
"Enable Multiple Wish Lists","複数のほしい物リストを有効にする"
"Number of Multiple Wish Lists","複数のほしい物リストの数"
"The number of multiple wish lists should be equal to or more than 2.","複数希望リストの数は2以上でなければなりません。"
"My Wish Lists Link","マイほしい物リストリンク"
"Display Wish Lists Summary","ほしい物リストの要約を表示する"
"Wish List Search Description","ほしい物リスト検索の説明"
"Quick Search Form Types","簡易検索フォーム種別"
"Template","テンプレート"
"Wish List Search Template","ほしい物リスト検索テンプレート"
"CSV","CSVファイル"
"Excel XML","Excel形式XML"
"Added","追加済み"
"Customer","顧客"
"Status","ステータス"
"Public","公開"
"Private","プライベート"
"Product","商品"
"SKU","商品番号"
"Comment","コメント"
"Wish List Quantity","ほしい物リスト数量"
"Store Quantity","店舗数"
"Surplus / Deficit","余剰/赤字"
"All Websites","すべてのウェブサイト"
"Product Info","製品情報"
"Unit Price","ユニット価格"
"Add to Wish List","欲しいものリストに追加"
"Could not create a wish list.","ウィッシュリストを作成できませんでした。"
"The default wish list can't be deleted.","デフォルトの欲しい物リストを削除できませんでした。"
"Edit wish list","ほしい物リストを編集"
