"Wishlist","Список бажань"
"Customer's Wish List Report","Customer's Wish List Report"
"My Wish Lists","Мої списки бажань"
"1 item in wish list","1 елемент в списку бажань"
"%1 items in wish list","%1 елемент(ів) в список побажань"
"Wish List Search","Wish List Search"
"Select Search Type","Select Search Type"
"Reports","Звіти"
"Customers","Покупці"
"Customer Wish List Report","Customer Wish List Report"
"Wish list ""%1"" was saved.","Wish list ""%1"" was saved."
"We can't create the wish list right now.","We can't create the wish list right now."
"Page not found.","Сторінка не знайдена."
"""%1"" was copied to %2.","""%1"" was copied to %2."
"We can't find the item.","We can't find the item."
"""%1"" is already present in %2.","""%1"" is already present in %2."
"We can't copy ""%1"".","We can't copy ""%1""."
"We can't copy the wish list item.","We can't copy the wish list item."
"We can't find %1 items.","We can't find %1 items."
"We can't copy %1 items.","We can't copy %1 items."
"%1 items are already present in %2: %3.","%1 items are already present in %2: %3."
"%1 items were copied to %2: %3.","%1 items were copied to %2: %3."
"You can't delete the default wish list.","You can't delete the default wish list."
"Wish List ""%1"" has been deleted.","Wish List ""%1"" has been deleted."
"We can't delete the wish list right now.","We can't delete the wish list right now."
"""%1"" was moved to %2.","""%1"" was moved to %2."
"We can't find an item with this ID.","We can't find an item with this ID."
"We cannot move ""%1"".","We cannot move ""%1""."
"We can't move the wish list item.","We can't move the wish list item."
"%1 items cannot be moved: %2.","%1 items cannot be moved: %2."
"We can't move %1 items.","We can't move %1 items."
"%1 items were moved to %2: %3.","%1 items were moved to %2: %3."
"%1 for ""%2""","%1 for ""%2"""
"We can't add the item to shopping cart.","We can't add the item to shopping cart."
"We can't add the following product(s) to shopping cart: %1.","We can't add the following product(s) to shopping cart: %1."
"Product(s) %1 have required options. Each product can only be added individually.","Продукт (и) %1 мають необхідні параметри. Кожен продукт можуе додаватися індивідуально."
"%1 product(s) have been added to shopping cart: %2.","%1 product(s) have been added to shopping cart: %2."
"Please reenter your search options.","Please reenter your search options."
"We could not perform the search.","We could not perform the search."
"All Forms","Всі форми"
"Owner Name","Ім'я власника"
"Owner Email","Owner Email"
"%1's Wish List","%1 в список побажань"
"%1's Wish List (%2)","%1's Wish List (%2)"
"Please enter a valid email address.","Будь ласка, введіть коректну адресу електронної пошти."
"Please enter at least 2 letters of the first name.","Please enter at least 2 letters of the first name."
"Please enter at least 2 letters of the last name.","Please enter at least 2 letters of the last name."
"Sign in to edit wish lists.","Увійдіть, щоб редагувати списки бажань."
"The wish list is not assigned to your account and can't be edited.","The wish list is not assigned to your account and can't be edited."
"Provide the wish list name.","Укажіть ім'я списку бажань."
"Wish list ""%1"" already exists.","Список бажань ""%1"" вже існує."
"Only %1 wish list(s) can be created.","Only %1 wish list(s) can be created."
"Test Phrase","Test Phrase"
"Unknown Magento error","Unknown Magento error"
"InvalidArgumentException","InvalidArgumentException"
"Refresh","Оновити"
"All Wish Lists","Всі Списки Бажань"
"Item","Позиція"
"Qty","Кіл-ть"
"Price","Ціна"
"Remove","Вилучити"
"Add To Order","Add To Order"
"Configure and Add to Order","Configure and Add to Order"
"No items","No items"
"Delete Wish List","Видалити Список Бажань"
"Owner","Власник"
"Name","Назва"
"Updated","Оновлено"
"Wish List Items","Елементи Списку Бажань"
"You must select items to add to the cart.","You must select items to add to the cart."
"Add to Cart","Додати в кошик"
"Back","Назад"
"Add to:","Add to:"
"Create New Wish List","Створити Новий Список Бажань"
"Move to Wish List","Перемістити до списку бажань"
"Copy to Wish List","Копіювати в Список Бажань"
"Search Options","Search Options"
"Required Fields","Обов'язкові поля"
"First Name","Ім'я"
"Last Name","Прізвище"
"Search","Пошук"
"Search Results","Search Results"
"Wish List Name","Назва Списку Бажань"
"Actions","Дії"
"View","View"
"Your search returned no results.","На Ваш запит нічого не знайдено."
"Wish List","Список Бажань"
"Create Wish List","Create Wish List"
"Edit Wish List","Редагувати Список Бажань"
"Edit","Редагувати"
"Public Wish List","Публічний Список Бажань"
"Private Wish List","Приватний Список Бажань"
"Select all","Вибрати все"
"Move Selected to Wish List","Перемістити Обране в Список Бажань"
"Copy Selected to Wish List","Копіювати Обране в Список Бажань"
"Search By","Search By"
"Please enter at least two letters.","Please enter at least two letters."
"Close","Закрити"
"Save","Зберегти"
"Cancel","Скасувати"
"We can't create the Wish List right now.","We can't create the Wish List right now."
"Please select items to move.","Please select items to move."
"Please select items to copy.","Please select items to copy."
"Are you sure you want to delete your wish list? This action can't be undone.","Are you sure you want to delete your wish list? This action can't be undone."
"Wish Lists","Wish Lists"
"Enable Multiple Wish Lists","Enable Multiple Wish Lists"
"Number of Multiple Wish Lists","Number of Multiple Wish Lists"
"The number of multiple wish lists should be equal to or more than 2.","The number of multiple wish lists should be equal to or more than 2."
"My Wish Lists Link","My Wish Lists Link"
"Display Wish Lists Summary","Display Wish Lists Summary"
"Wish List Search Description","Wish List Search Description"
"Quick Search Form Types","Quick Search Form Types"
"Template","Шаблон"
"Wish List Search Template","Wish List Search Template"
"CSV","CSV"
"Excel XML","Excel XML"
"Added","Додано"
"Customer","Покупець"
"Status","Статус"
"Public","Публічний"
"Private","Private"
"Product","Продукт"
"SKU","Артикул"
"Comment","Коментар"
"Wish List Quantity","Wish List Quantity"
"Store Quantity","Store Quantity"
"Surplus / Deficit","Surplus / Deficit"
"All Websites","Всі Веб-сайти"
"Product Info","Product Info"
"Unit Price","Unit Price"
"Add to Wish List","Додати до Списку Бажань"
"Could not create a wish list.","Could not create a wish list."
"The default wish list can't be deleted.","The default wish list can't be deleted."
"Edit wish list","Edit wish list"
