"Search Options","Επιλογές αναζήτησης"
"Required Fields","Απαιτούμενα Πεδία"
"First Name","Όνομα"
"Last Name","Επώνυμο"
"Search","Αναζήτηση"
"Search Results","Αποτελέσματα Αναζήτησης"
"Wish List Name","Όνομα Λίστας Επιθυμιών"
"Actions","Ενέργειες"
"View","Προβολή"
"Your search returned no results.","Η αναζήτησή σας δεν είχε αποτελέσματα."
"Wish List","Λίστα Επιθυμιών"
"Create Wish List","Δημιουργία Λίστας Επιθυμιών"
"Edit Wish List","Επεξεργασία Λίστας Επιθυμιών"
"Edit","Επεξεργασία"
"Public Wish List","Δημόσια Λίστα Επιθυμιών"
"Private Wish List","Ιδιωτική Λίστα Επιθυμιών"
"Select all","Επιλογή όλων"
"Move Selected to Wish List","Μετακίνηση Επιλεγμένων στη Λίστα Επιθυμιών"
"Copy Selected to Wish List","Αντιγραφή Επιλεγμένων στη Λίστα Επιθυμιών"
"Search By","Αναζήτηση βάσει"
"Please enter at least two letters.","Παρακαλούμε εισάγετε τουλάχιστον δύο γράμματα."
"Close","Κλείσιμο"
"Save","Αποθήκευση"
"Cancel","Άκυρο"
"We can't create the Wish List right now.","Αυτή τη στιγμή δεν μπορούμε να δημιουργούμε τη λίστα επιθυμιών."
"Please select items to move.","Παρακαλούμε επιλέξτε στοιχεία για μετακίνηση."
"Please select items to copy.","Παρακαλούμε επιλέξτε στοιχεία για αντιγραφή."
"Are you sure you want to delete your wish list? This action can't be undone.","Είστε βέβαιοι ότι θέλετε να διαγράψετε τη λίστα επιθυμιών σας; Αυτή η ενέργεια δεν μπορεί να αναιρεθεί."
"Wish Lists","Λίστες Επιθυμιών"
"Enable Multiple Wish Lists","Επιτρέπονται οι Πολλαπλές Λίστες Επιθυμιών"
"Number of Multiple Wish Lists","Αριθμός για Πολλαπλές Λιστες Επιθυμιών"
"The number of multiple wish lists should be equal to or more than 2.","Ο αριθμός των πολλαπλών λιστών επιθυμιών πρέπει να είναι ίσος ή μεγαλύτερος των 2."
"My Wish Lists Link","Σύνδεσμος για Λίστες Επιθυμιών μου"
"Display Wish Lists Summary","Εμφάνιση Σύνοψης για Λίστες Επιθυμιών"
"Wish List Search Description","Περιγραφή Αναζήτησης Λίστας Επιθυμιών"
"Quick Search Form Types","Τύποι Φόρμας Γρήγορης Αναζήτησης"
"Template","Πρότυπο"
"Wish List Search Template","Πρότυπο Αναζήτησης Λίστας Επιθυμιών"
"CSV","CSV"
"Excel XML","Excel XML"
"Added","Προστέθηκε"
"Customer","Πελάτης"
"Status","Κατάσταση"
"Public","Δημόσιο"
"Private","Ιδιωτικό"
"Product","Προϊόν"
"SKU","Κωδικός"
"Comment","Σχόλιο"
"Wish List Quantity","Ποσότητα Λίστας Επιθυμιών"
"Store Quantity","Ποσότητα Καταστήματος"
"Surplus / Deficit","Πλεόνασμα / Έλλειμμα"
"All Websites","Όλες οι Ιστοσελίδες"
"Product Info","Πληροφορίες Προϊόντος"
"Unit Price","Τιμή Mονάδoς"
"Add to Wish List","Προσθήκη στη Λίστα Επιθυμιών"
"Could not create a wish list.","Δεν είναι δυνατή η δημιουργία λίστας επιθυμιών."
"The default wish list can't be deleted.","Η προεπιλεγμένη λίστα επιθυμιών δεν μπορεί να διαγραφεί."
"Edit wish list","Επεξεργασία λίστας επιθυμιών"
