"Wishlist","รายการโปรด"
"Customer's Wish List Report","Customer's Wish List Report"
"My Wish Lists","รายการสินค้าที่ฉันต้องการ"
"1 item in wish list","1 สินค้า ในรายการสิ่งที่ชอบ"
"%1 items in wish list","%1 สินค้า ในรายการสิ่งที่ชอบ"
"Wish List Search","Wish List Search"
"Select Search Type","Select Search Type"
"Reports","Reports"
"Customers","ลูกค้า"
"Customer Wish List Report","Customer Wish List Report"
"Wish list ""%1"" was saved.","Wish list ""%1"" was saved."
"We can't create the wish list right now.","We can't create the wish list right now."
"Page not found.","ไม่พบหน้านี้"
"""%1"" was copied to %2.","""%1"" was copied to %2."
"We can't find the item.","We can't find the item."
"""%1"" is already present in %2.","""%1"" is already present in %2."
"We can't copy ""%1"".","We can't copy ""%1""."
"We can't copy the wish list item.","We can't copy the wish list item."
"We can't find %1 items.","We can't find %1 items."
"We can't copy %1 items.","We can't copy %1 items."
"%1 items are already present in %2: %3.","%1 items are already present in %2: %3."
"%1 items were copied to %2: %3.","%1 items were copied to %2: %3."
"You can't delete the default wish list.","You can't delete the default wish list."
"Wish List ""%1"" has been deleted.","Wish List ""%1"" has been deleted."
"We can't delete the wish list right now.","We can't delete the wish list right now."
"""%1"" was moved to %2.","""%1"" was moved to %2."
"We can't find an item with this ID.","We can't find an item with this ID."
"We cannot move ""%1"".","We cannot move ""%1""."
"We can't move the wish list item.","We can't move the wish list item."
"%1 items cannot be moved: %2.","%1 items cannot be moved: %2."
"We can't move %1 items.","We can't move %1 items."
"%1 items were moved to %2: %3.","%1 items were moved to %2: %3."
"%1 for ""%2""","%1 for ""%2"""
"We can't add the item to shopping cart.","We can't add the item to shopping cart."
"We can't add the following product(s) to shopping cart: %1.","We can't add the following product(s) to shopping cart: %1."
"Product(s) %1 have required options. Each product can only be added individually.","สินค้า %1 มีตัวเลือกที่จำเป็นต้องระบุ สินค้าแต่ละชิ้นสามารถเพิ่มได้ทีละรายการเท่านั้น"
"%1 product(s) have been added to shopping cart: %2.","%1 product(s) have been added to shopping cart: %2."
"Please reenter your search options.","Please reenter your search options."
"We could not perform the search.","We could not perform the search."
"All Forms","All Forms"
"Owner Name","Owner Name"
"Owner Email","Owner Email"
"%1's Wish List","%1's Wish List"
"%1's Wish List (%2)","%1's Wish List (%2)"
"Please enter a valid email address.","กรุณาใส่อีเมลที่ถูกต้อง"
"Please enter at least 2 letters of the first name.","Please enter at least 2 letters of the first name."
"Please enter at least 2 letters of the last name.","Please enter at least 2 letters of the last name."
"Sign in to edit wish lists.","Sign in to edit wish lists."
"The wish list is not assigned to your account and can't be edited.","The wish list is not assigned to your account and can't be edited."
"Provide the wish list name.","Provide the wish list name."
"Wish list ""%1"" already exists.","Wish list ""%1"" already exists."
"Only %1 wish list(s) can be created.","Only %1 wish list(s) can be created."
"Test Phrase","Test Phrase"
"Unknown Magento error","Unknown Magento error"
"InvalidArgumentException","InvalidArgumentException"
"Refresh","รีเฟรช"
"All Wish Lists","All Wish Lists"
"Item","รายการ"
"Qty","จำนวน"
"Price","ราคา"
"Remove","ลบ"
"Add To Order","Add To Order"
"Configure and Add to Order","Configure and Add to Order"
"No items","No items"
"Delete Wish List","Delete Wish List"
"Owner","Owner"
"Name","ชื่อ"
"Updated","Updated"
"Wish List Items","Wish List Items"
"You must select items to add to the cart.","You must select items to add to the cart."
"Add to Cart","เพิ่มในตะกร้าสินค้า"
"Back","ย้อนกลับ"
"Add to:","Add to:"
"Create New Wish List","Create New Wish List"
"Move to Wish List","ย้ายไปที่ รายการที่ชอบ"
"Copy to Wish List","คัดลอดไปที่ รายการที่ชอบ"
"Search Options","Search Options"
"Required Fields","Required Fields"
"First Name","ชื่อ"
"Last Name","นามสกุล"
"Search","ค้นหา"
