"Invalid domain name: %1","Nume domeniu invalid: %1"
"Invalid cookie lifetime: %1","Durata de viață a cookie-urilor invalidă: %1"
"Invalid cookie path","Cale cookie invalidă"
"We use cookies to make your experience better.","Folosim cookie-uri pentru a vă îmbunătăți experiența."
"To comply with the new e-Privacy directive, we need to ask for your consent to set the cookies.","Pentru a respecta noua Directivă privind confidențialitatea în mediul electronic, trebuie să vă cerem acordul pentru a stabili cookie-urile."
"<a href=""%1"">Learn more</a>.","<a href=""%1"">Află mai multe</a>."
"Allow Cookies","Permite cookie-uri"
"Default Cookie Settings","Setări implicite Cookie"
"Cookie Lifetime","Durată de viață cookie"
"Cookie Path","Cale Cookie"
"Cookie Domain","Domeniu Cookie"
"Use HTTP Only","Utilizați doar HTTP"
"Cookie Restriction Mode","Mod Restricție Cookie"
"<strong style=""color:red"">Warning</strong>:  Do not set to ""No"". User security could be compromised.","<strong style=""color:red"">Avertisment</strong>: Nu setați ""Nu"". Securitatea utilizatorului ar putea fi compromisă."
"'Invalid domain name: ' .","'Nume domeniu nevalid: ' ."
"'Invalid cookie lifetime: ' .","„Durata de viață a cookie-urilor invalidă: ” ."
