"Invalid domain name: %1","Недопустимое имя домена: %1"
"Invalid cookie lifetime: %1","Недопустимое время жизни cookie: %1"
"Invalid cookie path","Неверный путь к cookie"
"We use cookies to make your experience better.","Мы используем cookies, чтобы сделать Ваш опыт лучше."
"To comply with the new e-Privacy directive, we need to ask for your consent to set the cookies.","Чтобы выполнить новую директиву e-Privacy, мы должны попросить ваше согласие принять cookies."
"<a href=""%1"">Learn more</a>.","<a href=""%1"">Подробнее</a>."
"Allow Cookies","Разрешить куки"
"Default Cookie Settings","Настройки Cookie по умолчанию"
"Cookie Lifetime","Время жизни Cookie"
"Cookie Path","Путь для Cookie"
"Cookie Domain","Домен Cookie"
"Use HTTP Only","Использовать только HTTP"
"Cookie Restriction Mode","Режим ограничения Cookie"
"<strong style=""color:red"">Warning</strong>:  Do not set to ""No"". User security could be compromised.","<strong style=""color:red"">Warning</strong>:  Do not set to ""No"". User security could be compromised."
"'Invalid domain name: ' .","'Неверное имя домена: ' ."
"'Invalid cookie lifetime: ' .","'Неверное время жизни cookie: ' ."
