"Invalid domain name: %1","Ugyldig domenenavn: %1"
"Invalid cookie lifetime: %1","Ugyldig cookie levetid: %1"
"Invalid cookie path","Ugyldig informasjonskapselbane"
"We use cookies to make your experience better.","Vi bruker informasjonskapsler for å gjøre opplevelsen bedre."
"To comply with the new e-Privacy directive, we need to ask for your consent to set the cookies.","I samsvar med det nye e-direktivet trenger vi å be om tillatelse til å sette informasjonskapsler."
"<a href=""%1"">Learn more</a>.","<a href=""%1"">Lær mer</a>."
"Allow Cookies","Tillate informasjonskapsler"
"Default Cookie Settings","Standardinnstillinger for infokapsler"
"Cookie Lifetime","Informasjonskapsel levetid"
"Cookie Path","Informasjonskapselbane"
"Cookie Domain","Informasjonskapsel-domene"
"Use HTTP Only","Bruk kun HTTP"
"Cookie Restriction Mode","Begrenset informasjonskapsel modus"
"Cookies are disabled in your browser.","Cookies are disabled in your browser."
"Enter the Cookie Lifetime in seconds.","Enter the Cookie Lifetime in seconds."
"Enter a valid cookie path. e.g. /","Enter a valid cookie path. e.g. /"
"Enter a valid domain name. e.g. ""subdomain.yourdomain.com"", "".yourdomain.com""","Enter a valid domain name. e.g. ""subdomain.yourdomain.com"", "".yourdomain.com"""
"When Cookie Restriction Mode is enabled, visitors to your store are notified that cookies are required for full-featured operations.","When Cookie Restriction Mode is enabled, visitors to your store are notified that cookies are required for full-featured operations."
