"Invalid domain name: %1","Неисправан назив домена: %1"
"Invalid cookie lifetime: %1","Неисправно време трајања колачића: %1"
"Invalid cookie path","Неисправна путања колачића"
"We use cookies to make your experience better.","Ми користимо колачиће како би ваше искуство било боље."
"To comply with the new e-Privacy directive, we need to ask for your consent to set the cookies.","Да би смо ускладили нову директиву о е-приватности, морамо затражити вашу сагласност да подесите колачиће."
"<a href=""%1"">Learn more</a>.","<а хреф=""%1"">Научити више</а>."
"Allow Cookies","Допусти колачиће"
"Default Cookie Settings","Подразумевана Подешавања Колачића"
"Cookie Lifetime","Рок трајања колачића"
"Cookie Path","Путања колачића"
"Cookie Domain","Домен колачића"
"Use HTTP Only","Користи само ХТТП"
"Cookie Restriction Mode","Рестриктивни Режим Колачића"
"<strong style=""color:red"">Warning</strong>:  Do not set to ""No"". User security could be compromised.","<стронг стyле=""цолор:ред"">Упозорење</стронг>: Немојте подесите ""Не"". Безбедност корисника би могла бити компромитована."
"'Invalid domain name: ' .","'Неисправан домаин наме: ' ."
"'Invalid cookie lifetime: ' .","'Неисправан цоокие лифетиме: ' ."
