"Invalid domain name: %1","Ugyldigt domænenavn: %1"
"Invalid cookie lifetime: %1","Invalid cookie lifetime: %1"
"Invalid cookie path","Invalid cookie path"
"We use cookies to make your experience better.","Vi opsamler cookies til at gøre oplevelsen bedre."
"To comply with the new e-Privacy directive, we need to ask for your consent to set the cookies.","Når du benytter vores website, giver du samtykke til anvendelsen af cookies. "
"<a href=""%1"">Learn more</a>.","<a href=""%1"">Læs mere</a>."
"Allow Cookies","Tillad cookies"
"Default Cookie Settings","Default Cookie Settings"
"Cookie Lifetime","Cookie Lifetime"
"Cookie Path","Cookie Path"
"Cookie Domain","Cookie Domain"
"Use HTTP Only","Use HTTP Only"
"Cookie Restriction Mode","Cookie Restriction Mode"
"<strong style=""color:red"">Warning</strong>:  Do not set to ""No"". User security could be compromised.","<strong style=""color:red"">Warning</strong>:  Do not set to ""No"". User security could be compromised."
"'Invalid domain name: ' .","'Invalid domain name: ' ."
"'Invalid cookie lifetime: ' .","'Invalid cookie lifetime: ' ."
