"Invalid domain name: %1","അസാധുവായ ഡൊമെയ്ൻ നാമം: %1"
"Invalid cookie lifetime: %1","കുക്കി ജീവിതകാലം അസാധുവാണ്: %1"
"Invalid cookie path","കുക്കി പാത്ത് അസാധുവാണ്"
"We use cookies to make your experience better.","നിങ്ങളുടെ അനുഭവം മികച്ചതാക്കാൻ ഞങ്ങൾ കുക്കികൾ ഉപയോഗിക്കുന്നു."
"To comply with the new e-Privacy directive, we need to ask for your consent to set the cookies.","പുതിയ ഇ-സ്വകാര്യതാ നിർദ്ദേശത്തിന് അനുസൃതമായി, കുക്കികൾ സജ്ജീകരിക്കുന്നതിന് ഞങ്ങൾ നിങ്ങളുടെ സമ്മതം ചോദിക്കേണ്ടതുണ്ട്."
"<a href=""%1"">Learn more</a>.","<a href=""%1"">Learn more</a>."
"Allow Cookies","കുക്കികളെ അനുവദിക്കുക"
"Default Cookie Settings","സ്ഥിരസ്ഥിതി കുക്കി ക്രമീകരണങ്ങൾ"
"Cookie Lifetime","കുക്കി ലൈഫ് ടൈം"
"Cookie Path","കുക്കി പാത"
"Cookie Domain","കുക്കി ഡൊമെയ്ൻ"
"Use HTTP Only","HTTP മാത്രം ഉപയോഗിക്കുക"
"Cookie Restriction Mode","കുക്കി നിയന്ത്രണ മോഡ്"
"<strong style=""color:red"">Warning</strong>:  Do not set to ""No"". User security could be compromised.","<strong style=""color:red"">Warning</strong>:  Do not set to ""No"". User security could be compromised."
"'Invalid domain name: ' .","'അസാധുവായ ഡൊമെയ്ൻ നാമം: ' ."
"'Invalid cookie lifetime: ' .","കുക്കി നിയന്ത്രണ മോഡ്."
