"Invalid domain name: %1","Domini invàlid: %1"
"Invalid cookie lifetime: %1","Vida de la cookie invàlida: %1"
"Invalid cookie path","Ruta de cookie invàlida"
"We use cookies to make your experience better.","Utilitzem cookies per millorar l'experiència."
"To comply with the new e-Privacy directive, we need to ask for your consent to set the cookies.","Per complir amb la nova directiva de privacitat necessitem el consentiment per desar cookies."
"<a href=""%1"">Learn more</a>.","<a href=""%1"">Saber-ne més</a>."
"Allow Cookies","Acceptar Cookies"
"Cookies are disabled in your browser.","Cookies are disabled in your browser."
"Default Cookie Settings","Configuració de cookies"
"Cookie Lifetime","Vida de la cookie"
"Enter the Cookie Lifetime in seconds.","Enter the Cookie Lifetime in seconds."
"Cookie Path","Ruta de la cookie"
"Enter a valid cookie path. e.g. /","Enter a valid cookie path. e.g. /"
"Cookie Domain","Domini de la cookie"
"Enter a valid domain name. e.g. ""subdomain.yourdomain.com"", "".yourdomain.com""","Enter a valid domain name. e.g. ""subdomain.yourdomain.com"", "".yourdomain.com"""
"Use HTTP Only","Utilitzar només HTTP"
"<strong class=""colorRed"">Warning</strong>:  Do not set to ""No"". User security could be compromised.","<strong class=""colorRed"">Warning</strong>:  Do not set to ""No"". User security could be compromised."
"Cookie Restriction Mode","Mode de restricció de cookies"
"When Cookie Restriction Mode is enabled, visitors to your store are notified that cookies are required for full-featured operations.","When Cookie Restriction Mode is enabled, visitors to your store are notified that cookies are required for full-featured operations."
