"Invalid domain name: %1","Neispravan naziv domena: %1"
"Invalid cookie lifetime: %1","Neispravno vreme trajanja kolačića: %1"
"Invalid cookie path","Neispravna putanja kolačića"
"We use cookies to make your experience better.","Mi koristimo kolačiće kako bi vaše iskustvo bilo bolje."
"To comply with the new e-Privacy directive, we need to ask for your consent to set the cookies.","Da bi smo uskladili novu direktivu o e-privatnosti, moramo zatražiti vašu saglasnost da podesite kolačiće."
"<a href=""%1"">Learn more</a>.","<a href=""%1"">Naučiti više</a>."
"Allow Cookies","Dopusti kolačiće"
"Default Cookie Settings","Podrazumevana Podešavanja Kolačića"
"Cookie Lifetime","Rok trajanja kolačića"
"Cookie Path","Putanja kolačića"
"Cookie Domain","Domen kolačića"
"Use HTTP Only","Koristi samo HTTP"
"Cookie Restriction Mode","Restriktivni Režim Kolačića"
"<strong style=""color:red"">Warning</strong>:  Do not set to ""No"". User security could be compromised.","<strong style=""color:red"">Upozorenje</strong>: Nemojte podesite ""Ne"". Bezbednost korisnika bi mogla biti kompromitovana."
"'Invalid domain name: ' .","'Neispravan domain name: ' ."
"'Invalid cookie lifetime: ' .","'Neispravan cookie lifetime: ' ."
