"Invalid domain name: %1","Nieprawidłowa nazwa domeny: %1"
"Invalid cookie lifetime: %1","Nieprawidłowy czas trwania ciasteczka: %1"
"Invalid cookie path","Nieprawidłowa ścieżka cookie"
"We use cookies to make your experience better.","Używamy cookies aby ułatwić korzystanie ze sklepu."
"To comply with the new e-Privacy directive, we need to ask for your consent to set the cookies.","Zgodnie z dyrektywą dotyczącą prywatności w sieci, musimy zapytać o Twoją zgodę na zapisywanie plików cookies."
"<a href=""%1"">Learn more</a>.","<a href=""%1""> Dowiedz się więcej</a>."
"Allow Cookies","Zezwalaj na pliki cookie"
"Cookies are disabled in your browser.","Cookies are disabled in your browser."
"Default Cookie Settings","Domyślne ustawienia plików Cookie"
"Cookie Lifetime","Czas życia cookie"
"Enter the Cookie Lifetime in seconds.","Enter the Cookie Lifetime in seconds."
"Cookie Path","Ścieżka dla cookie"
"Enter a valid cookie path. e.g. /","Enter a valid cookie path. e.g. /"
"Cookie Domain","Domena dla cookie"
"Enter a valid domain name. e.g. ""subdomain.yourdomain.com"", "".yourdomain.com""","Enter a valid domain name. e.g. ""subdomain.yourdomain.com"", "".yourdomain.com"""
"Use HTTP Only","Użyj tylko HTTP"
"<strong class=""colorRed"">Warning</strong>:  Do not set to ""No"". User security could be compromised.","<strong class=""colorRed"">Warning</strong>:  Do not set to ""No"". User security could be compromised."
"Cookie Restriction Mode","Tryb ograniczenia cookie"
"When Cookie Restriction Mode is enabled, visitors to your store are notified that cookies are required for full-featured operations.","When Cookie Restriction Mode is enabled, visitors to your store are notified that cookies are required for full-featured operations."
