"Invalid domain name: %1","Virheellinen verkkotunnus: %1"
"Invalid cookie lifetime: %1","Virheellinen evästeen elinikä: %1"
"Invalid cookie path","Virheellinen evästepolku"
"We use cookies to make your experience better.","Käytämme evästeitä parantaaksemme käyttäjäkokemustasi."
"To comply with the new e-Privacy directive, we need to ask for your consent to set the cookies.","Noudattaaksemme uutta sähköisen viestinnän yksityisyysdirektiiviä, meidän täytyy pyytää sinulta lupaa evästeiden asettamiseen."
"<a href=""%1"">Learn more</a>.","<a href=""%1"">Lue lisää</a>."
"Allow Cookies","Salli evästeiden käyttö"
"Default Cookie Settings","Evästeen oletusasetukset"
"Cookie Lifetime","Evästeen elinikä"
"Cookie Path","Evästeen polku"
"Cookie Domain","Evästeen verkkotunnus"
"Use HTTP Only","Käytä vain HTTP:tä"
"Cookie Restriction Mode","Evästerajoitustila"
"<strong style=""color:red"">Warning</strong>:  Do not set to ""No"". User security could be compromised.","<strong style=""color:red"">Warning</strong>:  Do not set to ""No"". User security could be compromised."
"'Invalid domain name: ' .","'Invalid domain name: ' ."
"'Invalid cookie lifetime: ' .","'Invalid cookie lifetime: ' ."
