"Invalid domain name: %1","Neplatný název domény: %1"
"Invalid cookie lifetime: %1","Neplatná životnost cookie: %1"
"Invalid cookie path","Neplatná cookie cesta"
"We use cookies to make your experience better.","K poskytování lepších služeb používáme soubory cookie."
"To comply with the new e-Privacy directive, we need to ask for your consent to set the cookies.","V souladu s novými předpisy vás musíme požádat o souhlas k nastavení souborů cookie."
"<a href=""%1"">Learn more</a>.","<a href=""%1""> Více informací</a>."
"Allow Cookies","Povolit cookie"
"Default Cookie Settings","Výchozí nastavení cookie"
"Cookie Lifetime","Životnost cookie"
"Cookie Path","Cesta cookie"
"Cookie Domain","Doména cookie"
"Use HTTP Only","Používat pouze HTTP"
"Cookie Restriction Mode","Režim omezení cookie"
"<strong style=""color:red"">Warning</strong>:  Do not set to ""No"". User security could be compromised.","<strong style=""color:red"">Warning</strong>:  Do not set to ""No"". User security could be compromised."
"'Invalid domain name: ' .","'Invalid domain name: ' ."
"'Invalid cookie lifetime: ' .","'Invalid cookie lifetime: ' ."
