"ALL GROUPS","ВСЕ ГРУППЫ"
"Customer Group","Группы клиентов"
"Minimum Qty","Минимальное кол-во"
"Add Minimum Qty","Добавьте минимальное кол-во"
"We can't rebuild the index for an undefined product.","Мы не можем перестроить индекс для неопределенного продукта."
"Could not rebuild index for empty products array","Не удалось перестроить индекс для пустых массивов товаров"
"The stock item for Product is not valid.","The stock item for Product is not valid."
"This product is out of stock.","Этот продукт недоступен."
"Some of the products are out of stock.","Некоторых из этих продуктов нет в наличии."
"The stock item for Product in option is not valid.","The stock item for Product in option is not valid."
"Undefined product type","Неопознанный тип продукта"
"%1 is not a correct comparison method.","%1 is not a correct comparison method."
"No Backorders","Нет предзаказов"
"Allow Qty Below 0","Разрешить кол-во ниже 0"
"Allow Qty Below 0 and Notify Customer","Разрешить количество ниже 0 и уведомить клиента"
"In Stock","В наличии"
"Out of Stock","Нет в наличии"
"Unable to save Stock Item","Unable to save Stock Item"
"Stock Item with id ""%1"" does not exist.","Stock Item with id ""%1"" does not exist."
"Unable to remove Stock Item with id ""%1""","Unable to remove Stock Item with id ""%1"""
"Unable to save Stock","Unable to save Stock"
"Stock with id ""%1"" does not exist.","Stock with id ""%1"" does not exist."
"Unable to remove Stock with id ""%1""","Unable to remove Stock with id ""%1"""
"Unable to save Stock Status","Unable to save Stock Status"
"Unable to remove Stock Status for product %1","Unable to remove Stock Status for product %1"
"Invalid stock id: %1. Only default stock with id %2 allowed","Invalid stock id: %1. Only default stock with id %2 allowed"
"Invalid stock item id: %1. Should be null or numeric value greater than 0","Invalid stock item id: %1. Should be null or numeric value greater than 0"
"Invalid stock item id: %1. Assigned stock item id is %2","Invalid stock item id: %1. Assigned stock item id is %2"
"Not all of your products are available in the requested quantity.","Not all of your products are available in the requested quantity."
"Product with SKU ""%1"" does not exist","Product with SKU ""%1"" does not exist"
"The fewest you may purchase is %1.","The fewest you may purchase is %1."
"Please correct the quantity for some products.","Пожалуйста, исправьте количество для некоторых продуктов."
"The most you may purchase is %1.","The most you may purchase is %1."
"We don't have as many ""%1"" as you requested.","We don't have as many ""%1"" as you requested."
"We don't have as many ""%1"" as you requested, but we'll back order the remaining %2.","We don't have as many ""%1"" as you requested, but we'll back order the remaining %2."
"We don't have ""%1"" in the requested quantity, so we'll back order the remaining %2.","We don't have ""%1"" in the requested quantity, so we'll back order the remaining %2."
"You can buy %1 only in quantities of %2 at a time.","You can buy %1 only in quantities of %2 at a time."
"You can buy this product only in quantities of %1 at a time.","You can buy this product only in quantities of %1 at a time."
"Decimal qty increments is not allowed.","Decimal qty increments is not allowed."
"Stock Status","Статус наличия"
"Quantity","Количество"
"Advanced Inventory","Расширенный инвентарь"
"%1 is available to buy in increments of %2","%1 is available to buy in increments of %2"
"Only %1 left","Осталось всего %1"
"Product availability","Доступность продукта"
"Product Name","Название товара"
"Qty","Кол-во"
"Inventory Section","Секция Инвентаризации"
"Inventory","Запасы"
"Stock Options","Варианты Запаса"
"Decrease Stock When Order is Placed","Decrease Stock When Order is Placed"
"Set Items' Status to be In Stock When Order is Cancelled","Set Items' Status to be In Stock When Order is Cancelled"
"Display Out of Stock Products","Display Out of Stock Products"
"Products will still be shown by direct product URLs.","Products will still be shown by direct product URLs."
"Only X left Threshold","Only X left Threshold"
"Display Products Availability in Stock on Storefront","Display Products Availability in Stock on Storefront"
"Product Stock Options","Product Stock Options"
"Please note that these settings apply to individual items in the cart, not to the entire cart.","Пожалуйста, обратите внимание, что эти параметры применяются к отдельным элементам в корзину, не всю корзину."
"Manage Stock","Управление наличием"
"Backorders","Предзаказы"
"Maximum Qty Allowed in Shopping Cart","Максимальное кол-во в корзину"
"Out-of-Stock Threshold","Порог из запасов"
"Minimum Qty Allowed in Shopping Cart","Минимальное Кол-во в корзину"
"Notify for Quantity Below","Уведомления для количества ниже"
"Automatically Return Credit Memo Item to Stock","Automatically Return Credit Memo Item to Stock"
"Enable Qty Increments","Включение Qty с шагом"
"Qty Increments","Qty с шагом"
"Stock","Склад"
"Index stock","Index stock"
"Use Config Settings","Использовать Настройки Конфигурации"
"Qty Uses Decimals","Количество использует десятичные дроби"
"Allow Multiple Boxes for Shipping","Разрешить несколько коробок для доставки"
"Display products availability in stock on Storefront.","Display products availability in stock on Storefront."
"Use Deferred Stock Update","Use Deferred Stock Update"
"Changing can take some time due to processing whole catalog.","Changing can take some time due to processing whole catalog."
"The Product stock item is invalid. Verify the stock item and try again.","The Product stock item is invalid. Verify the stock item and try again."
"The stock item was unable to be saved. Please try again.","The stock item was unable to be saved. Please try again."
"The stock item with the ""%1"" ID wasn't found. Verify the ID and try again.","The stock item with the ""%1"" ID wasn't found. Verify the ID and try again."
"The stock was unable to be saved. Please try again.","The stock was unable to be saved. Please try again."
"The stock with the ""%1"" ID wasn't found. Verify the ID and try again.","The stock with the ""%1"" ID wasn't found. Verify the ID and try again."
"The stock status was unable to be saved. Please try again.","The stock status was unable to be saved. Please try again."
"The ""%1"" value is invalid for stock ID. Enter stock with a default value of %2 to try again.","The ""%1"" value is invalid for stock ID. Enter stock with a default value of %2 to try again."
"The ""%1"" value is invalid for stock item ID. Enter either zero or a number than zero to try again.","The ""%1"" value is invalid for stock item ID. Enter either zero or a number than zero to try again."
"The ""%1"" value is invalid for stock item ID. Use the stock item ID's assigned ""%2"" value and try again.","The ""%1"" value is invalid for stock item ID. Use the stock item ID's assigned ""%2"" value and try again."
"The Product with the ""%1"" SKU doesn't exist.","The Product with the ""%1"" SKU doesn't exist."
"The requested qty is not available","The requested qty is not available"
"Quantity increments can't use decimals. Enter a new increment and try again.","Quantity increments can't use decimals. Enter a new increment and try again."
