"ALL GROUPS","Semua grup"
"Customer Group","Kelompok pelanggan"
"Minimum Qty","Qty Minimum"
"Add Minimum Qty","Tambah Qty Minimum"
"We can't rebuild the index for an undefined product.","Kami tidak dapat membangun kembali untuk produk yang tidak didefinisikan."
"Could not rebuild index for empty products array","Tidak dapat membangun kembali indeks untuk rangkaian produk kosong"
"The Product stock item is invalid. Verify the stock item and try again.","The Product stock item is invalid. Verify the stock item and try again."
"This product is out of stock.","Produk Ini Habis Stok."
"Some of the products are out of stock.","Beberapa Produk Kehabisan Stok."
"The stock item for Product in option is not valid.","Stok Produk Dalam Pilihan Tidak Valid."
"Undefined product type","Tipe Produk Tidak Didefinisi"
"%1 is not a correct comparison method.","%1 Bukan metode Perbandingan Yang Benar."
"No Backorders","Tidak Ada batas"
"Allow Qty Below 0","Terima Qty Dibawah 0"
"Allow Qty Below 0 and Notify Customer","Terima Qty Dibawah 0 Dan Pemberitahuan Pelanggan"
"In Stock","Dalam Persediaan"
"Out of Stock","Tidak Ada Persediaan"
"The stock item was unable to be saved. Please try again.","The stock item was unable to be saved. Please try again."
"The stock item with the ""%1"" ID wasn't found. Verify the ID and try again.","The stock item with the ""%1"" ID wasn't found. Verify the ID and try again."
"The stock was unable to be saved. Please try again.","The stock was unable to be saved. Please try again."
"The stock with the ""%1"" ID wasn't found. Verify the ID and try again.","The stock with the ""%1"" ID wasn't found. Verify the ID and try again."
"Unable to remove Stock with id ""%1""","Tidak Bisa Membatalkan Stok Dengan Id ""%1"""
"The stock status was unable to be saved. Please try again.","The stock status was unable to be saved. Please try again."
"Unable to remove Stock Status for product %1","Tidak Bisa Membatalkan Status Stok Untuk Produk %1"
"The ""%1"" value is invalid for stock ID. Enter stock with a default value of %2 to try again.","The ""%1"" value is invalid for stock ID. Enter stock with a default value of %2 to try again."
"The ""%1"" value is invalid for stock item ID. Enter either zero or a number than zero to try again.","The ""%1"" value is invalid for stock item ID. Enter either zero or a number than zero to try again."
"The ""%1"" value is invalid for stock item ID. Use the stock item ID's assigned ""%2"" value and try again.","The ""%1"" value is invalid for stock item ID. Use the stock item ID's assigned ""%2"" value and try again."
"The Product with the ""%1"" SKU doesn't exist.","The Product with the ""%1"" SKU doesn't exist."
"Please correct the quantity for some products.","Tolong Koreksi Nilai Dari Beberapa Produk."
"The fewest you may purchase is %1.","Yang Paling Sedikit Anda Bisa Beli Adalah %1."
"The requested qty exceeds the maximum qty allowed in shopping cart","The requested qty exceeds the maximum qty allowed in shopping cart"
"You cannot use decimal quantity for this product.","You cannot use decimal quantity for this product."
"The requested qty is not available","The requested qty is not available"
"We don't have as many ""%1"" as you requested, but we'll back order the remaining %2.","We don't have as many ""%1"" as you requested, but we'll back order the remaining %2."
"We don't have ""%1"" in the requested quantity, so we'll back order the remaining %2.","We don't have ""%1"" in the requested quantity, so we'll back order the remaining %2."
"You can buy %1 only in quantities of %2 at a time.","Anda Bisa Beli %1 Hanya Dalam Jumlah %2 Dalam Satu Waktu."
"You can buy this product only in quantities of %1 at a time.","Anda Hanya Bisa Membeli Produk ini Dengan Jumlah %1 Dalam Satu Waktu."
"Quantity increments can't use decimals. Enter a new increment and try again.","Quantity increments can't use decimals. Enter a new increment and try again."
"Something went wrong while updating the product(s) attributes.","Something went wrong while updating the product(s) attributes."
"Stock Status","Status Stok"
"Quantity","Kuantitas"
"Advanced Inventory","Persediaan Lanjutan"
"%1 is available to buy in increments of %2","%1 Tersedia Untuk Membeli Bertahap %2"
"Only %1 left","Hanya %1 tertinggal"
"Product availability","Ketersediaan Produk"
"Product Name","Nama Produk"
"Qty","Jumlah"
"Inventory Section","Bagian Persediaan"
"Inventory","Persediaan"
"Stock Options","Pilihan Stok"
"Decrease Stock When Order is Placed","Turunkan Stok Saat Order Ditempatkan"
"Set Items' Status to be In Stock When Order is Cancelled","Tetapkan Status Item yang Akan Di Stok Saat Pesanan Dibatalkan"
"Display Out of Stock Products","Tampilan Tidak Tersedia Stok Produk"
"Products will still be shown by direct product URLs.","Produk Akan Tetap Ditampilkan Dengan Direk Produk URLs."
"Only X left Threshold","Hanya X yang meninggalkan ambang batas"
"Display Products Availability in Stock on Storefront","Ketersediaan Tampilan produk di Stok di etalase"
"Product Stock Options","Pilihan Stok Produk"
"Please note that these settings apply to individual items in the cart, not to the entire cart.","Please note that these settings apply to individual items in the cart, not to the entire cart."
"Manage Stock","Atur Stok"
"Changing can take some time due to processing whole catalog.","Changing can take some time due to processing whole catalog."
"Backorders","Kembali perintah"
"Maximum Qty Allowed in Shopping Cart","Qty maksimum yang diizinkan dalam keranjang belanja"
"Out-of-Stock Threshold","Ambang Batas Stok habis"
"Minimum Qty Allowed in Shopping Cart","Qty minimum Yang diizinkan dalam keranjang belanja"
"Notify for Quantity Below","Beritahu kuantitas dibawah ini"
"Automatically Return Credit Memo Item to Stock","Kembalikan Item Memo Kredit secara otomatis ke Stok"
"Enable Qty Increments","Aktifkan Qty tambahan"
"Qty Increments","Qty Tambahan"
"Stock","Stok"
"Index stock","Indeks stok"
"Done","Done"
"Use Config Settings","Gunakan konfigurasi Pengaturan"
"Qty Uses Decimals","Qty menggunakan Desimal"
"Allow Multiple Boxes for Shipping","Memungkinkan Beberapa Kotak untuk Pengiriman"
