"ALL GROUPS","VŠECHNY SKUPINY"
"Customer Group","Zákaznická skupina"
"Minimum Qty","Minimální množství"
"Add Minimum Qty","Přidat minimální množství"
"We can't rebuild the index for an undefined product.","Pro nedefinované produkty nelze index obnovit."
"Could not rebuild index for empty products array","Pro prázdné pole produktů nelze index obnovit"
"The stock item for Product is not valid.","The stock item for Product is not valid."
"This product is out of stock.","Tento produkt není skladem."
"Some of the products are out of stock.","Některé produkty nejsou skladem."
"The stock item for Product in option is not valid.","Množství zvolené varianty produktu je neplatné."
"Undefined product type","Neznámý typ produktu"
"%1 is not a correct comparison method.","%1 není správný způsob porovnání."
"No Backorders","Nepovolit přečerpání"
"Allow Qty Below 0","Povolit přečerpání zásoby do záporného stavu"
"Allow Qty Below 0 and Notify Customer","Povolit přečerpání a zákazníka upozornit"
"In Stock","Skladem"
"Out of Stock","Není skladem"
"Unable to save Stock Item","Unable to save Stock Item"
"Stock Item with id ""%1"" does not exist.","Stock Item with id ""%1"" does not exist."
"Unable to remove Stock Item with id ""%1""","Unable to remove Stock Item with id ""%1"""
"Unable to save Stock","Unable to save Stock"
"Stock with id ""%1"" does not exist.","Stock with id ""%1"" does not exist."
"Unable to remove Stock with id ""%1""","Sklad s id ""%1"" se nepodařilo odstranit"
"Unable to save Stock Status","Unable to save Stock Status"
"Unable to remove Stock Status for product %1","Stav zásob produktu %1 se nepodařilo odebrat"
"Invalid stock id: %1. Only default stock with id %2 allowed","Invalid stock id: %1. Only default stock with id %2 allowed"
"Invalid stock item id: %1. Should be null or numeric value greater than 0","Invalid stock item id: %1. Should be null or numeric value greater than 0"
"Invalid stock item id: %1. Assigned stock item id is %2","Invalid stock item id: %1. Assigned stock item id is %2"
"Not all of your products are available in the requested quantity.","Not all of your products are available in the requested quantity."
"Product with SKU ""%1"" does not exist","Product with SKU ""%1"" does not exist"
"The fewest you may purchase is %1.","Můžete zakoupit nejméně %1 ks."
"Please correct the quantity for some products.","Opravte prosím množství některých produktů."
"The most you may purchase is %1.","The most you may purchase is %1."
"We don't have as many ""%1"" as you requested.","We don't have as many ""%1"" as you requested."
"We don't have as many ""%1"" as you requested, but we'll back order the remaining %2.","Požadované množství ""%1"" není dostupné, ale zbývající %2 doobjednáme."
"We don't have ""%1"" in the requested quantity, so we'll back order the remaining %2.","Požadované množství ""%1"" není dostupné, tak zbývající %2 doobjednáme."
"You can buy %1 only in quantities of %2 at a time.","Najednou lze koupit %1 pouze v množství %2."
"You can buy this product only in quantities of %1 at a time.","Najednou lze koupit tento produkt pouze v množství %1."
"Decimal qty increments is not allowed.","Decimal qty increments is not allowed."
"Stock Status","Stav zásob"
"Quantity","Množství"
"Advanced Inventory","Pokročilé sledování zásob"
"%1 is available to buy in increments of %2","%1 lze zakoupit pouze v násobcích %2"
"Only %1 left","Posledních %1"
"Product availability","Dostupnost produktu"
"Product Name","Název produktu"
"Qty","Množství"
"Inventory Section","Sekce zásoby"
"Inventory","Inventář"
"Stock Options","Nastavení zásob"
"Decrease Stock When Order is Placed","Při objednávce snížit zásobu"
"Set Items' Status to be In Stock When Order is Cancelled","Při zrušení objednávky nastavit stav Skladem"
"Display Out of Stock Products","Zobrazit produkty, které nejsou skladem"
"Products will still be shown by direct product URLs.","Pod přímou URL se budou produkty stále zobrazovat."
"Only X left Threshold","Posledních x ks skladem"
"Display Products Availability in Stock on Storefront","Zobrazit dostupnost produktů v obchodě."
"Product Stock Options","Nastavení zásoby produktu"
"Please note that these settings apply to individual items in the cart, not to the entire cart.","Vemte prosím na vědomí, že tato nastavení se vztahují na jednotlivé produkty, ne na celý košík."
"Manage Stock","Sledovat zásoby"
"Backorders","Přečerpání zásob"
"Maximum Qty Allowed in Shopping Cart","Maximální množství v košíku"
"Out-of-Stock Threshold","Množství pro Není skladem"
"Minimum Qty Allowed in Shopping Cart","Minimální množství v košíku"
"Notify for Quantity Below","Avizovat při počtu menší než"
"Automatically Return Credit Memo Item to Stock","Při dobropisu navýšit zásobu"
"Enable Qty Increments","Zapnout násobky množství"
"Qty Increments","Násobky množství"
"Stock","Zásoba"
"Index stock","Index zásob"
"Use Config Settings","Použít nastavení konfigurace"
"Qty Uses Decimals","Množství používá desetiny"
"Allow Multiple Boxes for Shipping","Povolit násobné zásilky pro přepravu"
"Display products availability in stock on Storefront.","Display products availability in stock on Storefront."
"Use Deferred Stock Update","Use Deferred Stock Update"
"Changing can take some time due to processing whole catalog.","Changing can take some time due to processing whole catalog."
"The Product stock item is invalid. Verify the stock item and try again.","The Product stock item is invalid. Verify the stock item and try again."
"The stock item was unable to be saved. Please try again.","The stock item was unable to be saved. Please try again."
"The stock item with the ""%1"" ID wasn't found. Verify the ID and try again.","The stock item with the ""%1"" ID wasn't found. Verify the ID and try again."
"The stock was unable to be saved. Please try again.","The stock was unable to be saved. Please try again."
"The stock with the ""%1"" ID wasn't found. Verify the ID and try again.","The stock with the ""%1"" ID wasn't found. Verify the ID and try again."
"The stock status was unable to be saved. Please try again.","The stock status was unable to be saved. Please try again."
"The ""%1"" value is invalid for stock ID. Enter stock with a default value of %2 to try again.","The ""%1"" value is invalid for stock ID. Enter stock with a default value of %2 to try again."
"The ""%1"" value is invalid for stock item ID. Enter either zero or a number than zero to try again.","The ""%1"" value is invalid for stock item ID. Enter either zero or a number than zero to try again."
"The ""%1"" value is invalid for stock item ID. Use the stock item ID's assigned ""%2"" value and try again.","The ""%1"" value is invalid for stock item ID. Use the stock item ID's assigned ""%2"" value and try again."
