"ALL GROUPS","ALLA GRUPPER"
"Customer Group","Kundgrupp"
"Minimum Qty","Minsta Antal"
"Add Minimum Qty","Lägg till Minsta Antal"
"We can't rebuild the index for an undefined product.","We can't rebuild the index for an undefined product."
"Could not rebuild index for empty products array","Kunde inte återskapa index för tomma produkte"
"The stock item for Product is not valid.","Lagerstatus för produkten är inte giltigt."
"This product is out of stock.","Den här produkten är slut i lager."
"Some of the products are out of stock.","Några av produkterna är slut i lager."
"The stock item for Product in option is not valid.","Lagerstatus för produkten är inte giltigt."
"Undefined product type","Odefinierad produkttyp"
"%1 is not a correct comparison method.","%1 är inte en rätt jämförelsemetod."
"No Backorders","Inga restorder"
"Allow Qty Below 0","Tillåt antal under 0"
"Allow Qty Below 0 and Notify Customer","Tillåt antal under 0 och informera kunden"
"In Stock","I lager"
"Out of Stock","Ej i lager"
"Unable to save Stock Item","Det går inte att spara lagersaldo på produkten"
"Stock Item with id ""%1"" does not exist.","Lagervara med id ""%1"" existerar inte."
"Unable to remove Stock Item with id ""%1""","Det går inte att ta bort artikel med id ""%1"""
"Unable to save Stock","Det går inte att spara lagersaldo"
"Stock with id ""%1"" does not exist.","Produkt med id %1 finns inte."
"Unable to remove Stock with id ""%1""","Unable to remove Stock with id ""%1"""
"Unable to save Stock Status","Det gick inte att spara lagerstatus"
"Unable to remove Stock Status for product %1","Unable to remove Stock Status for product %1"
"Invalid stock id: %1. Only default stock with id %2 allowed","Lager-id är ogiltigt: %1. Endast standardlager med id %2 tillåtet"
"Invalid stock item id: %1. Should be null or numeric value greater than 0","Ogiltigt produkt-id. Bör vara ett numeriskt värde större än 0"
"Invalid stock item id: %1. Assigned stock item id is %2","Ogiltig lagervara-id: %1. Tilldelad lagervaras id är %2"
"Not all of your products are available in the requested quantity.","Någon av dina produkter är inte tillgänglig i önskat antal."
"Product with SKU ""%1"" does not exist","En produkt med artikelnummer ""%1"" existerar inte"
"The fewest you may purchase is %1.","The fewest you may purchase is %1."
"Please correct the quantity for some products.","Please correct the quantity for some products."
"The most you may purchase is %1.","The most you may purchase is %1."
"We don't have as many ""%1"" as you requested.","We don't have as many ""%1"" as you requested."
"We don't have as many ""%1"" as you requested, but we'll back order the remaining %2.","We don't have as many ""%1"" as you requested, but we'll back order the remaining %2."
"We don't have ""%1"" in the requested quantity, so we'll back order the remaining %2.","We don't have ""%1"" in the requested quantity, so we'll back order the remaining %2."
"You can buy %1 only in quantities of %2 at a time.","You can buy %1 only in quantities of %2 at a time."
"You can buy this product only in quantities of %1 at a time.","You can buy this product only in quantities of %1 at a time."
"Decimal qty increments is not allowed.","Decimal qty increments is not allowed."
"Stock Status","Lagerstatus"
"Quantity","Antal"
"Advanced Inventory","Avancerad inventering"
"%1 is available to buy in increments of %2","%1 is available to buy in increments of %2"
"Only %1 left","Endast %1 kvar"
"Product availability","Product availability"
"Product Name","Produktnamn"
"Qty","Antal"
"Inventory Section","Inventory Section"
"Inventory","Lagerstatus"
"Stock Options","Stock Options"
"Decrease Stock When Order is Placed","Minska Produkter i Lager Efter Beställning"
"Set Items' Status to be In Stock When Order is Cancelled","Set Items' Status to be In Stock When Order is Cancelled"
"Display Out of Stock Products","Display Out of Stock Products"
"Products will still be shown by direct product URLs.","Products will still be shown by direct product URLs."
"Only X left Threshold","Only X left Threshold"
"Display Products Availability in Stock on Storefront","Display Products Availability in Stock on Storefront"
"Product Stock Options","Product Stock Options"
"Please note that these settings apply to individual items in the cart, not to the entire cart.","Please note that these settings apply to individual items in the cart, not to the entire cart."
"Manage Stock","Hantera lager"
"Backorders","Restorder"
"Maximum Qty Allowed in Shopping Cart","Högsta antal tillåtna i kundvagn"
"Out-of-Stock Threshold","""Slut i lager""-gräns"
"Minimum Qty Allowed in Shopping Cart","Minsta antal tillåtna i kundvagn"
"Notify for Quantity Below","Notifiera för antal under"
"Automatically Return Credit Memo Item to Stock","Automatically Return Credit Memo Item to Stock"
"Enable Qty Increments","Aktivera antal steg"
"Qty Increments","Antal steg"
"Stock","Stock"
"Index stock","Index stock"
"Use Config Settings","Använd konfigurationsinställningarna"
"Qty Uses Decimals","Antal använder decimaler"
"Allow Multiple Boxes for Shipping","Tillåt flera försändelser för frakt"
"Done","Done"
