"ALL GROUPS","SVE GRUPE"
"Customer Group","Grupa kupaca"
"Minimum Qty","Minimalna kol"
"Add Minimum Qty","Dodajte minimalna kol"
"We can't rebuild the index for an undefined product.","Ne možemo ponovo da napravimo indeks za nedefinisani proizvod."
"Could not rebuild index for empty products array","Ne možemo obnoviti index za prazan niz proizvoda"
"The stock item for Product is not valid.","The stock item for Proizvod is not valid."
"This product is out of stock.","Ovaj proizvod nemamo na stanju."
"Some of the products are out of stock.","Neke od ovih proizvoda nemamo na stanju."
"The stock item for Product in option is not valid.","Stavka u magacinu za opcije Proizvoda nije validna."
"Undefined product type","Nedefinisani tip proizvoda"
"%1 is not a correct comparison method.","%1 nije pravilna metoda poređenja."
"No Backorders","Nema prethodnih porudžbina"
"Allow Qty Below 0","Dozvoli kol ispod 0"
"Allow Qty Below 0 and Notify Customer","Dozvoli Kol ispod 0 i obavesti kupca"
"In Stock","Na stanju"
"Out of Stock","Nema na lageru"
"Unable to save Stock Item","Nije moguće sačuvati stavku zaliha"
"Stock Item with id ""%1"" does not exist.","Stavka zaliha sa ID ""%1"" ne postoji."
"Unable to remove Stock Item with id ""%1""","Nije moguće ukloniti stavku zaliha sa ID ""%1"""
"Unable to save Stock","Nije moguće sačuvati zalihe"
"Stock with id ""%1"" does not exist.","Zalihe sa ID ""%1"" ne postoje."
"Unable to remove Stock with id ""%1""","Nije moguće ukloniti magacin sa id ""%1"""
"Unable to save Stock Status","Nije moguće sačuvati status zaliha"
"Unable to remove Stock Status for product %1","Nije moguće ukloniti status magacina za proizvod %1"
"Invalid stock id: %1. Only default stock with id %2 allowed","Neispravan stock id: %1. Only default stock with id %2 allowed"
"Invalid stock item id: %1. Should be null or numeric value greater than 0","Neispravan stock item id: %1. Should be null or numeric value greater than 0"
"Invalid stock item id: %1. Assigned stock item id is %2","Neispravan stock item id: %1. Assigned stock item id is %2"
"Not all of your products are available in the requested quantity.","Neki od proizvoda nisu dostupni u traženoj količini."
"Product with SKU ""%1"" does not exist","Proizvod sa šifrom %1 ne postoji"
"The fewest you may purchase is %1.","Možete poručiti najmanje %1."
"Please correct the quantity for some products.","Molimo korigujte količine nekih proizvoda."
"The most you may purchase is %1.","Najviše možete poručiti %1."
"We don't have as many ""%1"" as you requested.","Nemamo dovoljno ""%1"" koliko ste zahtevali."
"We don't have as many ""%1"" as you requested, but we'll back order the remaining %2.","Nemamo dovoljno ""%1"" koliko ste zahtevali, ali ćemo poručiti preostalih %2."
"We don't have ""%1"" in the requested quantity, so we'll back order the remaining %2.","Nemamo ""%1"" u traženoj količini, pa ćemo poručiti preostalih %2."
"You can buy %1 only in quantities of %2 at a time.","Možete kupiti %1 samo u količini od %2 odjednom."
"You can buy this product only in quantities of %1 at a time.","Ovaj proizvod možete kupiti samo u količini od %1 odjednom."
"Decimal qty increments is not allowed.","Decimal qty increments is not allowed."
"Stock Status","Status Zaliha"
"Quantity","Količina"
"Advanced Inventory","Napredne zaliha"
"%1 is available to buy in increments of %2","%1 je dostupna da se kupi u količinama %2"
"Only %1 left","Samo %1 je ostao"
"Product availability","Dostupnost proizvoda"
"Product Name","Naziv proizvoda"
"Qty","Kol"
"Inventory Section","Sektor inventara"
"Inventory","Inventar"
"Stock Options","Opcije zaliha"
"Decrease Stock When Order is Placed","Umanji zalihe kada se poruči proizvod"
"Set Items' Status to be In Stock When Order is Cancelled","Podesi da status proizvoda bude ""Dostupan"" kada je porudžbina otkazana"
"Display Out of Stock Products","Prikaži proizvode kojih nema na stanju"
"Products will still be shown by direct product URLs.","Proizvodi će i dalje biti prikazani direktnim unosom adrese."
"Only X left Threshold","Samo je X ostao na početku"
"Display Products Availability in Stock on Storefront","Prikaži dostupnost proizvoda u zalihama u prodavnici"
"Product Stock Options","Opcije zaliha proizvoda"
"Please note that these settings apply to individual items in the cart, not to the entire cart.","Please note that these settings apply to individual items in the cart, not to the entire cart."
"Manage Stock","Magento magacin"
"Backorders","Poslednje porudžbine"
"Maximum Qty Allowed in Shopping Cart","Maksimalna količina dozvoljena u korpi"
