"ALL GROUPS","ALLE GROEPEN"
"Customer Group","Klantengroep"
"Minimum Qty","Minimum aantal"
"Add Minimum Qty","Voeg minimum aantal toe"
"We can't rebuild the index for an undefined product.","We kunnen geen index herbouwen voor een ongedefinieerd product."
"Could not rebuild index for empty products array","Kan index voor lege producten niet opnieuw opbouwen"
"The stock item for Product is not valid.","De voorraadstatus is ongeldig."
"This product is out of stock.","Dit product is niet op voorraad."
"Some of the products are out of stock.","Sommige van de producten zijn niet op voorraad."
"The stock item for Product in option is not valid.","De voorraadstatus is ongeldig."
"Undefined product type","Niet-gedefinieerd producttype"
"%1 is not a correct comparison method.","%1 is niet een juiste vergelijkingsmethode."
"No Backorders","Geen backorders"
"Allow Qty Below 0","Aantal onder 0 toestaan"
"Allow Qty Below 0 and Notify Customer","Aantal onder 0 toestaan en klant inlichten"
"In Stock","Op voorraad"
"Out of Stock","Niet op voorraad"
"Unable to save Stock Item","Product kan niet worden opgeslagen"
"Stock Item with id ""%1"" does not exist.","Voorraadproduct met id ""%1"" bestaat niet."
"Unable to remove Stock Item with id ""%1""","Kan Stock item niet verwijderen met id ""%1"""
"Unable to save Stock","Kan Voorraad niet opslaan"
"Stock with id ""%1"" does not exist.","Voorraad met id ""%1"" bestaat niet."
"Unable to remove Stock with id ""%1""","Kan Stock niet verwijderen met id ""%1"""
"Unable to save Stock Status","Kan Stock status niet opslaan"
"Unable to remove Stock Status for product %1","Kan Stock Status niet verwijderen voor product %1"
"Invalid stock id: %1. Only default stock with id %2 allowed","Ongeldige voorraad id: %1. Alleen standaard stock met id %2 toegestaan"
"Invalid stock item id: %1. Should be null or numeric value greater than 0","Ongeldig stock item id: %1. Moet null of numerieke waarde groter dan 0 zijn"
"Invalid stock item id: %1. Assigned stock item id is %2","Ongeldig stock item id: %1. Toegewezen stock item id is %2"
"Not all of your products are available in the requested quantity.","Niet al je producten zijn beschikbaar in het gevraagde aantal."
"Product with SKU ""%1"" does not exist","Product met art.nr. ""%1"" bestaat niet"
"The fewest you may purchase is %1.","Het minimale dat Je kunt bestellen is %1."
"Please correct the quantity for some products.","Corrigeer het aantal voor sommige producten."
"The most you may purchase is %1.","Het meeste dat je kunt kopen is %1."
"We don't have as many ""%1"" as you requested.","Onvoldoende voorraad beschikbaar voor: ""%1""."
"We don't have as many ""%1"" as you requested, but we'll back order the remaining %2.","We hebben niet zo veel van ""%1"" zoals je gevraagd hebt, maar we zullen de resterende %2 naleveren."
"We don't have ""%1"" in the requested quantity, so we'll back order the remaining %2.","We hebben niet zo veel van ""%1"" zoals je gevraagd hebt, maar we zullen de resterende %2 naleveren."
"You can buy %1 only in quantities of %2 at a time.","Je kan %1 alleen in hoeveelheden van %2 kopen in één keer."
"You can buy this product only in quantities of %1 at a time.","Je kunt dit product enkel in een veelvoud van %1 kopen."
"Decimal qty increments is not allowed.","Het is niet toegestaan om het aantal met decimalen te verhogen."
"Stock Status","Voorraadstatus"
"Quantity","Aantal"
"Advanced Inventory","Geavanceerd assortimentsbeheer"
"%1 is available to buy in increments of %2","%1 is beschikbaar om te kopen in stappen van %2"
"Only %1 left","Nog %1 beschikbaar"
"Product availability","Productbeschikbaarheid"
"Product Name","Product Naam"
"Qty","Aantal"
"Inventory Section","Voorraadsectie"
"Inventory","Assortimentsbeheer"
