"ALL GROUPS","TOATE GRUPURILE"
"Customer Group","Grup Clienți"
"Minimum Qty","Cantitate minimă"
"Add Minimum Qty","Adăugare cantitate minimă"
"We can't rebuild the index for an undefined product.","Nu se poate reconstrui indexul pentru un produs nedefinit."
"Could not rebuild index for empty products array","Nu se poate reconstrui indexul pentru o matrice de produs goală."
"The Product stock item is invalid. Verify the stock item and try again.","The Product stock item is invalid. Verify the stock item and try again."
"This product is out of stock.","Acest produs este epuizat din stoc."
"Some of the products are out of stock.","Unele produse sunt epuizate din stoc."
"The stock item for Product in option is not valid.","Articolul din stoc pentru Produsul din opțiune nu este valid."
"Undefined product type","Tip produs nedefinit"
"%1 is not a correct comparison method.","%1 nu este o modalitate de comparație corectă."
"No Backorders","Nici o comandă în așteptare"
"Allow Qty Below 0","Acceptați cantitate sub 0"
"Allow Qty Below 0 and Notify Customer","Acceptați cantitate sub 0 și notifică clientul"
"In Stock","în stoc"
"Out of Stock","Epuizat din stoc"
"The stock item was unable to be saved. Please try again.","The stock item was unable to be saved. Please try again."
"The stock item with the ""%1"" ID wasn't found. Verify the ID and try again.","The stock item with the ""%1"" ID wasn't found. Verify the ID and try again."
"The stock was unable to be saved. Please try again.","The stock was unable to be saved. Please try again."
"The stock with the ""%1"" ID wasn't found. Verify the ID and try again.","The stock with the ""%1"" ID wasn't found. Verify the ID and try again."
"Unable to remove Stock with id ""%1""","Unable to remove Stock with id ""%1"""
"The stock status was unable to be saved. Please try again.","The stock status was unable to be saved. Please try again."
"Unable to remove Stock Status for product %1","Unable to remove Stock Status for product %1"
"The ""%1"" value is invalid for stock ID. Enter stock with a default value of %2 to try again.","The ""%1"" value is invalid for stock ID. Enter stock with a default value of %2 to try again."
"The ""%1"" value is invalid for stock item ID. Enter either zero or a number than zero to try again.","The ""%1"" value is invalid for stock item ID. Enter either zero or a number than zero to try again."
"The ""%1"" value is invalid for stock item ID. Use the stock item ID's assigned ""%2"" value and try again.","The ""%1"" value is invalid for stock item ID. Use the stock item ID's assigned ""%2"" value and try again."
"The Product with the ""%1"" SKU doesn't exist.","The Product with the ""%1"" SKU doesn't exist."
"Please correct the quantity for some products.","Corectați cantitatea pentru unele produse."
"The fewest you may purchase is %1.","Cantitatea minimă de achiziție este de %1."
"The requested qty exceeds the maximum qty allowed in shopping cart","The requested qty exceeds the maximum qty allowed in shopping cart"
"You cannot use decimal quantity for this product.","You cannot use decimal quantity for this product."
"The requested qty is not available","Cantitatea solicitată nu este disponibilă"
"We don't have as many ""%1"" as you requested, but we'll back order the remaining %2.","Nu avem atât de multe ""%1"" pe cât ați solicitat, dar vom pune comanda în așteptare pentru cele %2 rămase."
"We don't have ""%1"" in the requested quantity, so we'll back order the remaining %2.","Nu avem ""%1"" în cantitatea solicitată, așa că vom pune comanda în așteptare pentru cele %2 rămase."
"You can buy %1 only in quantities of %2 at a time.","Puteți cumpăra %1 numai în cantități de %2 pe comandă."
"You can buy this product only in quantities of %1 at a time.","You can buy this product only in quantities of %1 at a time."
"Quantity increments can't use decimals. Enter a new increment and try again.","Quantity increments can't use decimals. Enter a new increment and try again."
"Something went wrong while updating the product(s) attributes.","A avut loc o eroare la actualizarea atributelor de produs."
"Stock Status","Stock Status"
"Quantity","Cantitate"
"Advanced Inventory","Inventar avansat"
"%1 is available to buy in increments of %2","%1 este disponibil pentru cumpărare numai în trepte de %2"
"Only %1 left","Numai %1 rămase"
"Product availability","Disponibilitate produs"
"Product Name","Numele produsului"
"Qty","Cantitate"
"Inventory Section","Inventory Section"
"Inventory","Inverntar"
"Stock Options","Opțiuni stoc"
"Decrease Stock When Order is Placed","Scădeți din stoc la plasarea comenzii"
"Set Items' Status to be In Stock When Order is Cancelled","Setați statusul articolelor ca fiind în Stoc la anularea comenzii"
"Display Out of Stock Products","Afișați produsele epuizate din stoc"
"Products will still be shown by direct product URLs.","Produsele vor fi afișate prin URL-uri directe produs"
"Only X left Threshold","Prag doar X articole rămase"
"Display Products Availability in Stock on Storefront","Display Products Availability in Stock on Storefront"
"Product Stock Options","Opțiuni stoc produs"
"Please note that these settings apply to individual items in the cart, not to the entire cart.","Vă informăm că aceste setări sunt aplicabile la articole individuale din coș, nu la întregul coș."
"Manage Stock","Gestionare stoc"
"Changing can take some time due to processing whole catalog.","Changing can take some time due to processing whole catalog."
"Backorders","Comenzi în așteptare"
"Maximum Qty Allowed in Shopping Cart","Cantitate maximă admisă în coșul de cumpărături"
"Out-of-Stock Threshold","Prag Epuizat-din-stoc"
"Minimum Qty Allowed in Shopping Cart","Cantitate minimă admisă în coșul de cumpărături"
"Notify for Quantity Below","Notificați pentru cantitate mai jos"
"Automatically Return Credit Memo Item to Stock","Returnați automat aticolul notă de credit în stoc"
"Enable Qty Increments","Activați creșteri cantitate"
"Qty Increments","Creșteri cantitate"
"Stock","Stoc"
"Index stock","Index stoc"
"Done","Efectuat"
"Use Config Settings","Folosiți setări de configurare"
"Qty Uses Decimals","Cantitatea folosește zecimale"
"Allow Multiple Boxes for Shipping","Allow Multiple Boxes for Shipping"
